[rosmaster.main][INFO] 2017-09-21 17:08:07,707: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:08:07,708: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:08:07,708: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 17:08:07,709: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:08:07,709: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:08:07,709: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 17:08:07,777: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:08:07,781: +PARAM [/roslaunch/uris/host_ubuntu__43120] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:08:07,859: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:08:07,859: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:08:07,860: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:08:07,893: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:32779/
[rosmaster.master][INFO] 2017-09-21 17:08:07,895: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:32779/
[rosmaster.master][INFO] 2017-09-21 17:08:07,905: +PUB [/rosout_agg] /rosout http://ubuntu:32779/
[rosmaster.master][INFO] 2017-09-21 17:08:07,938: +SUB [/rosout] /rosout http://ubuntu:32779/
[rosmaster.master][INFO] 2017-09-21 17:08:08,035: +PUB [/rosout] /image_converter http://ubuntu:39472/
[rosmaster.master][INFO] 2017-09-21 17:08:08,036: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:39472/
[rosmaster.master][INFO] 2017-09-21 17:08:08,036: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:39472/
[rosmaster.master][INFO] 2017-09-21 17:08:08,109: publisherUpdate[/rosout] -> http://ubuntu:32779/ ['http://ubuntu:39472/']
[rosmaster.master][INFO] 2017-09-21 17:08:08,112: publisherUpdate[/rosout] -> http://ubuntu:32779/ ['http://ubuntu:39472/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:08:08,114: +PUB [/rosout] /camera http://ubuntu:35257/
[rosmaster.master][INFO] 2017-09-21 17:08:08,118: +PUB [/rosout] /view http://ubuntu:42726/
[rosmaster.master][INFO] 2017-09-21 17:08:08,118: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35257/
[rosmaster.master][INFO] 2017-09-21 17:08:08,119: +SERVICE [/view/get_loggers] /view http://ubuntu:42726/
[rosmaster.master][INFO] 2017-09-21 17:08:08,120: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35257/
