[rosmaster.main][INFO] 2017-09-21 16:46:40,251: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 16:46:40,251: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 16:46:40,252: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 16:46:40,252: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 16:46:40,252: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 16:46:40,252: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 16:46:40,306: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:46:40,310: +PARAM [/roslaunch/uris/host_ubuntu__33991] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:46:40,385: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:46:40,385: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:46:40,385: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:46:40,423: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34676/
[rosmaster.master][INFO] 2017-09-21 16:46:40,425: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34676/
[rosmaster.master][INFO] 2017-09-21 16:46:40,429: +PUB [/rosout_agg] /rosout http://ubuntu:34676/
[rosmaster.master][INFO] 2017-09-21 16:46:40,447: +SUB [/rosout] /rosout http://ubuntu:34676/
[rosmaster.master][INFO] 2017-09-21 16:46:40,561: +PUB [/rosout] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,562: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,563: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,642: +PUB [/rosout] /camera http://ubuntu:41982/
[rosmaster.master][INFO] 2017-09-21 16:46:40,643: +PUB [/rosout] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,643: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41982/
[rosmaster.master][INFO] 2017-09-21 16:46:40,646: +SERVICE [/view/get_loggers] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,647: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41982/
[rosmaster.master][INFO] 2017-09-21 16:46:40,647: +SERVICE [/view/set_logger_level] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,659: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/']
[rosmaster.master][INFO] 2017-09-21 16:46:40,665: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:46:40,665: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/', 'http://ubuntu:41982/']
[rosmaster.master][INFO] 2017-09-21 16:46:40,670: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/', 'http://ubuntu:41982/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:46:40,670: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/', 'http://ubuntu:41982/', 'http://ubuntu:40912/']
[rosmaster.master][INFO] 2017-09-21 16:46:40,670: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/', 'http://ubuntu:41982/', 'http://ubuntu:40912/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:46:40,674: +SUB [/tf] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,683: +SUB [/tf_static] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,698: +SUB [/camera/image_raw] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,721: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:41982/
[rosmaster.master][INFO] 2017-09-21 16:46:40,725: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:54301
[rosmaster.master][INFO] 2017-09-21 16:46:40,746: +PUB [/image/screenpoint] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,747: +PUB [/image/screenpoint_array] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,748: +PUB [/image/screenrectangle] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,748: +PUB [/image/screenrectangle_image] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,749: +PUB [/image/movepoint] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,750: +PUB [/image/foreground] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,750: +PUB [/image/background] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,751: +PUB [/image/foreground_rect] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,755: +PUB [/image/background_rect] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,760: +PUB [/image/line] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,761: +PUB [/image/poly] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,793: +PUB [/image/compressedDepth] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,794: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,796: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,801: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,806: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,809: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,810: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,811: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,811: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,813: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,851: +PUB [/image_marked/compressedDepth] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,852: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,853: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,854: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,856: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,856: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,860: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,861: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,862: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,863: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,873: -PUB [/rosout] /camera http://ubuntu:41982/
[rosmaster.master][INFO] 2017-09-21 16:46:40,874: -SERVICE [/camera/get_loggers] /camera rosrpc://ubuntu:54301
[rosmaster.master][INFO] 2017-09-21 16:46:40,877: -SERVICE [/camera/set_logger_level] /camera rosrpc://ubuntu:54301
[rosmaster.master][INFO] 2017-09-21 16:46:40,878: +PUB [/image/compressed] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,879: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,882: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,882: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,893: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,897: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,901: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,902: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,902: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,903: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:40,929: +PUB [/image_marked/compressed] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,930: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,933: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,934: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:40,936: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,937: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,938: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,938: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,942: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,942: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:40,959: +PUB [/image] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:40,969: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/', 'http://ubuntu:40912/']
[rosmaster.master][INFO] 2017-09-21 16:46:40,970: publisherUpdate[/rosout] -> http://ubuntu:34676/ ['http://ubuntu:33427/', 'http://ubuntu:40912/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:46:41,002: +PUB [/image_marked] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,033: +PUB [/image/theora] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:41,033: +SERVICE [/image/theora/set_parameters] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:41,034: +PUB [/image/theora/parameter_descriptions] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:41,035: +PUB [/image/theora/parameter_updates] /image_converter http://ubuntu:33427/
[rosmaster.master][INFO] 2017-09-21 16:46:41,042: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,043: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,046: +PARAM [/image/theora/quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,047: +PARAM [/image/theora/keyframe_frequency] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,047: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,048: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,049: +PARAM [/image/theora/quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,050: +PARAM [/image/theora/keyframe_frequency] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:46:41,061: +PUB [/image_marked/theora] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,062: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,063: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,063: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,066: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,066: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,067: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,068: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,068: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,069: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,070: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,070: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,096: +PUB [/image/marked/compressedDepth] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,097: +SERVICE [/image/marked/compressedDepth/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,097: +PUB [/image/marked/compressedDepth/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,098: +PUB [/image/marked/compressedDepth/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,100: +PARAM [/image/marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,101: +PARAM [/image/marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,101: +PARAM [/image/marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,102: +PARAM [/image/marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,103: +PARAM [/image/marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,103: +PARAM [/image/marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,128: +PUB [/image/marked/compressed] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,129: +SERVICE [/image/marked/compressed/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,130: +PUB [/image/marked/compressed/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,131: +PUB [/image/marked/compressed/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,133: +PARAM [/image/marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,133: +PARAM [/image/marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,134: +PARAM [/image/marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,135: +PARAM [/image/marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,135: +PARAM [/image/marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,136: +PARAM [/image/marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,161: +PUB [/image/marked] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,187: +PUB [/image/marked/theora] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,187: +SERVICE [/image/marked/theora/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,188: +PUB [/image/marked/theora/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,189: +PUB [/image/marked/theora/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,192: +PARAM [/image/marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,192: +PARAM [/image/marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,193: +PARAM [/image/marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,193: +PARAM [/image/marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,194: +PARAM [/image/marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,195: +PARAM [/image/marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,195: +PARAM [/image/marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,196: +PARAM [/image/marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,224: +SUB [/image] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,227: +SUB [/camera_info] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,230: +SUB [/image_marker] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,234: +SUB [/image/event] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,234: +SERVICE [/view/change_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,235: +SERVICE [/view/rectangle_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,236: +SERVICE [/view/grabcut_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,236: +SERVICE [/view/grabcut_rect_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,237: +SERVICE [/view/line_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,238: +SERVICE [/view/poly_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,238: +SERVICE [/view/none_mode] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,239: +SERVICE [/view/set_parameters] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,240: +PUB [/view/parameter_descriptions] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,241: +PUB [/view/parameter_updates] /view http://ubuntu:40912/
[rosmaster.master][INFO] 2017-09-21 16:46:41,246: +PARAM [/view/grid] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,246: +PARAM [/view/fisheye_mode] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,247: +PARAM [/view/div_u] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,247: +PARAM [/view/div_v] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,248: +PARAM [/view/grid_red] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,249: +PARAM [/view/grid_green] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,249: +PARAM [/view/grid_blue] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,250: +PARAM [/view/grid_thickness] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,251: +PARAM [/view/grid_space] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,251: +PARAM [/view/grid] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,252: +PARAM [/view/fisheye_mode] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,253: +PARAM [/view/div_u] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,254: +PARAM [/view/div_v] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,254: +PARAM [/view/grid_red] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,255: +PARAM [/view/grid_green] by /view
[rosmaster.master][INFO] 2017-09-21 16:46:41,255: +PARAM [/view/grid_blue] by /view
