[rosmaster.main][INFO] 2017-10-04 13:10:54,216: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:10:54,216: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:10:54,217: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:10:54,217: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:10:54,217: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:10:54,217: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:10:54,278: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:10:54,289: +PARAM [/roslaunch/uris/host_ubuntu__41849] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:10:54,354: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:10:54,354: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:10:54,355: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:10:54,365: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34712/
[rosmaster.master][INFO] 2017-10-04 13:10:54,366: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34712/
[rosmaster.master][INFO] 2017-10-04 13:10:54,376: +PUB [/rosout_agg] /rosout http://ubuntu:34712/
[rosmaster.master][INFO] 2017-10-04 13:10:54,393: +SUB [/rosout] /rosout http://ubuntu:34712/
[rosmaster.master][INFO] 2017-10-04 13:10:54,480: +PUB [/rosout] /mask_orange http://ubuntu:46153/
[rosmaster.master][INFO] 2017-10-04 13:10:54,483: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:46153/
[rosmaster.master][INFO] 2017-10-04 13:10:54,485: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:46153/
[rosmaster.master][INFO] 2017-10-04 13:10:54,518: publisherUpdate[/rosout] -> http://ubuntu:34712/ ['http://ubuntu:46153/']
[rosmaster.master][INFO] 2017-10-04 13:10:54,519: publisherUpdate[/rosout] -> http://ubuntu:34712/ ['http://ubuntu:46153/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:10:54,526: +PUB [/rosout] /camera http://ubuntu:44705/
[rosmaster.master][INFO] 2017-10-04 13:10:54,527: +PUB [/rosout] /view http://ubuntu:44482/
[rosmaster.master][INFO] 2017-10-04 13:10:54,528: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44705/
[rosmaster.master][INFO] 2017-10-04 13:10:54,529: +SERVICE [/view/get_loggers] /view http://ubuntu:44482/
[rosmaster.master][INFO] 2017-10-04 13:10:54,529: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44705/
[rosmaster.master][INFO] 2017-10-04 13:10:54,530: +SERVICE [/view/set_logger_level] /view http://ubuntu:44482/
[rosmaster.master][INFO] 2017-10-04 13:10:54,546: +SUB [/tf] /view http://ubuntu:44482/
[rosmaster.master][INFO] 2017-10-04 13:10:54,558: +SUB [/tf_static] /view http://ubuntu:44482/
[rosmaster.master][INFO] 2017-10-04 13:10:54,602: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44705/
[rosmaster.master][INFO] 2017-10-04 13:10:54,619: +PUB [/image/screenpoint] /view http://ubuntu:44482/
[rosmaster.master][INFO] 2017-10-04 13:10:54,619: publisherUpdate[/rosout] -> http://ubuntu:34712/ ['http://ubuntu:46153/', 'http://ubuntu:44705/']
[rosmaster.master][INFO] 2017-10-04 13:10:54,620: publisherUpdate[/rosout] -> http://ubuntu:34712/ ['http://ubuntu:46153/', 'http://ubuntu:44705/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:10:54,620: publisherUpdate[/rosout] -> http://ubuntu:34712/ ['http://ubuntu:46153/', 'http://ubuntu:44705/', 'http://ubuntu:44482/']
[rosmaster.master][INFO] 2017-10-04 13:10:54,620: publisherUpdate[/rosout] -> http://ubuntu:34712/ ['http://ubuntu:46153/', 'http://ubuntu:44705/', 'http://ubuntu:44482/']: sec=0.00, result=[1, '', 0]
