[rosmaster.main][INFO] 2017-09-21 17:58:21,088: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:58:21,088: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:58:21,089: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 17:58:21,089: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:58:21,089: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:58:21,089: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 17:58:21,141: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:21,142: +PARAM [/roslaunch/uris/host_ubuntu__36246] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:21,215: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:21,215: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:21,215: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:21,271: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45145/
[rosmaster.master][INFO] 2017-09-21 17:58:21,272: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45145/
[rosmaster.master][INFO] 2017-09-21 17:58:21,275: +PUB [/rosout_agg] /rosout http://ubuntu:45145/
[rosmaster.master][INFO] 2017-09-21 17:58:21,311: +SUB [/rosout] /rosout http://ubuntu:45145/
[rosmaster.master][INFO] 2017-09-21 17:58:21,373: +PUB [/rosout] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,374: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,375: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,390: publisherUpdate[/rosout] -> http://ubuntu:45145/ ['http://ubuntu:44157/']
[rosmaster.master][INFO] 2017-09-21 17:58:21,392: publisherUpdate[/rosout] -> http://ubuntu:45145/ ['http://ubuntu:44157/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:58:21,442: +PUB [/rosout] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,442: +SERVICE [/view/get_loggers] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,443: +SERVICE [/view/set_logger_level] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,457: +SUB [/tf] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,466: +SUB [/tf_static] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,475: +PUB [/rosout] /camera http://ubuntu:40423/
[rosmaster.master][INFO] 2017-09-21 17:58:21,476: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40423/
[rosmaster.master][INFO] 2017-09-21 17:58:21,483: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40423/
[rosmaster.master][INFO] 2017-09-21 17:58:21,492: publisherUpdate[/rosout] -> http://ubuntu:45145/ ['http://ubuntu:44157/', 'http://ubuntu:35292/']
[rosmaster.master][INFO] 2017-09-21 17:58:21,493: publisherUpdate[/rosout] -> http://ubuntu:45145/ ['http://ubuntu:44157/', 'http://ubuntu:35292/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:58:21,493: publisherUpdate[/rosout] -> http://ubuntu:45145/ ['http://ubuntu:44157/', 'http://ubuntu:35292/', 'http://ubuntu:40423/']
[rosmaster.master][INFO] 2017-09-21 17:58:21,498: publisherUpdate[/rosout] -> http://ubuntu:45145/ ['http://ubuntu:44157/', 'http://ubuntu:35292/', 'http://ubuntu:40423/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:58:21,535: +SUB [/camera/image_raw] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,539: +PUB [/image/screenpoint] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,540: +PUB [/image/screenpoint_array] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,541: +PUB [/image/screenrectangle] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,542: +PUB [/image/screenrectangle_image] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,546: +PUB [/image/movepoint] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,548: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40423/
[rosmaster.master][INFO] 2017-09-21 17:58:21,548: +PUB [/image/foreground] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,551: +PUB [/image/background] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,552: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:39858
[rosmaster.master][INFO] 2017-09-21 17:58:21,555: +PUB [/image/foreground_rect] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,556: +PUB [/image/background_rect] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,558: +PUB [/image/line] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,559: +PUB [/image/poly] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,633: +PUB [/image/compressedDepth] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,634: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,635: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,636: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:44157/
[rosmaster.master][INFO] 2017-09-21 17:58:21,642: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:58:21,643: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:58:21,643: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:58:21,644: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:58:21,645: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:58:21,645: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:58:21,662: +PUB [/image_marked/compressedDepth] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,664: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,666: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,670: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:35292/
[rosmaster.master][INFO] 2017-09-21 17:58:21,672: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:58:21,674: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:58:21,677: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:58:21,678: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:58:21,679: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:58:21,682: +PARAM [/image_marked/compressedDepth/png_level] by /view
