[rosmaster.main][INFO] 2017-09-21 17:15:28,177: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:15:28,178: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:15:28,178: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 17:15:28,178: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:15:28,179: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:15:28,179: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 17:15:28,229: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:28,231: +PARAM [/roslaunch/uris/host_ubuntu__42926] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:28,304: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:28,304: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:28,304: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:15:28,321: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43416/
[rosmaster.master][INFO] 2017-09-21 17:15:28,322: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43416/
[rosmaster.master][INFO] 2017-09-21 17:15:28,323: +PUB [/rosout_agg] /rosout http://ubuntu:43416/
[rosmaster.master][INFO] 2017-09-21 17:15:28,345: +SUB [/rosout] /rosout http://ubuntu:43416/
[rosmaster.master][INFO] 2017-09-21 17:15:28,430: +PUB [/rosout] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,431: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,432: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,479: publisherUpdate[/rosout] -> http://ubuntu:43416/ ['http://ubuntu:40926/']
[rosmaster.master][INFO] 2017-09-21 17:15:28,482: publisherUpdate[/rosout] -> http://ubuntu:43416/ ['http://ubuntu:40926/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:15:28,503: +PUB [/rosout] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,505: +SERVICE [/view/get_loggers] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,506: +SERVICE [/view/set_logger_level] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,507: +PUB [/rosout] /camera http://ubuntu:41115/
[rosmaster.master][INFO] 2017-09-21 17:15:28,508: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41115/
[rosmaster.master][INFO] 2017-09-21 17:15:28,511: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41115/
[rosmaster.master][INFO] 2017-09-21 17:15:28,520: +SUB [/tf] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,535: +SUB [/tf_static] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,581: publisherUpdate[/rosout] -> http://ubuntu:43416/ ['http://ubuntu:40926/', 'http://ubuntu:43405/']
[rosmaster.master][INFO] 2017-09-21 17:15:28,582: publisherUpdate[/rosout] -> http://ubuntu:43416/ ['http://ubuntu:40926/', 'http://ubuntu:43405/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:15:28,582: publisherUpdate[/rosout] -> http://ubuntu:43416/ ['http://ubuntu:40926/', 'http://ubuntu:43405/', 'http://ubuntu:41115/']
[rosmaster.master][INFO] 2017-09-21 17:15:28,583: publisherUpdate[/rosout] -> http://ubuntu:43416/ ['http://ubuntu:40926/', 'http://ubuntu:43405/', 'http://ubuntu:41115/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:15:28,594: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:41115/
[rosmaster.master][INFO] 2017-09-21 17:15:28,608: +PUB [/image/screenpoint] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,612: +PUB [/image/screenpoint_array] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,613: +PUB [/image/screenrectangle] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,614: +PUB [/image/screenrectangle_image] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,615: +PUB [/image/movepoint] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,616: +PUB [/image/foreground] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,616: +PUB [/image/background] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,617: +PUB [/image/foreground_rect] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,618: +PUB [/image/background_rect] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,621: +PUB [/image/line] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,623: +PUB [/image/poly] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,634: +SUB [/camera/image_raw] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,694: +PUB [/image/compressedDepth] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,695: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,696: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,697: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,701: +PUB [/image_marked/compressedDepth] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,702: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,703: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,704: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,704: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,705: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:43405/
[rosmaster.master][INFO] 2017-09-21 17:15:28,706: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,707: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,708: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,710: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,715: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:15:28,716: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:15:28,717: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:15:28,720: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:15:28,721: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:15:28,722: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:15:28,768: +PUB [/image/compressed] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,768: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,769: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,770: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:40926/
[rosmaster.master][INFO] 2017-09-21 17:15:28,772: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,773: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,774: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,777: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:15:28,778: +PARAM [/image/compressed/jpeg_quality] by /image_converter
