[rosmaster.main][INFO] 2017-10-04 17:14:24,951: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 17:14:24,952: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 17:14:24,954: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 17:14:24,955: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 17:14:24,955: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 17:14:24,955: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 17:14:24,983: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:14:24,984: +PARAM [/roslaunch/uris/host_ubuntu__41340] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:14:25,074: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:14:25,074: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:14:25,074: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:14:25,153: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35446/
[rosmaster.master][INFO] 2017-10-04 17:14:25,154: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35446/
[rosmaster.master][INFO] 2017-10-04 17:14:25,160: +PUB [/rosout_agg] /rosout http://ubuntu:35446/
[rosmaster.master][INFO] 2017-10-04 17:14:25,187: +SUB [/rosout] /rosout http://ubuntu:35446/
[rosmaster.master][INFO] 2017-10-04 17:14:25,263: +PUB [/rosout] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,269: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,269: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,329: +PUB [/rosout] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,330: +SERVICE [/view/get_loggers] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,331: +SERVICE [/view/set_logger_level] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,347: +SUB [/tf] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,351: +PUB [/rosout] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,353: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,356: publisherUpdate[/rosout] -> http://ubuntu:35446/ ['http://ubuntu:42880/']
[rosmaster.master][INFO] 2017-10-04 17:14:25,361: publisherUpdate[/rosout] -> http://ubuntu:35446/ ['http://ubuntu:42880/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 17:14:25,361: publisherUpdate[/rosout] -> http://ubuntu:35446/ ['http://ubuntu:42880/', 'http://ubuntu:42934/']
[rosmaster.master][INFO] 2017-10-04 17:14:25,362: publisherUpdate[/rosout] -> http://ubuntu:35446/ ['http://ubuntu:42880/', 'http://ubuntu:42934/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 17:14:25,362: publisherUpdate[/rosout] -> http://ubuntu:35446/ ['http://ubuntu:42880/', 'http://ubuntu:42934/', 'http://ubuntu:40841/']
[rosmaster.master][INFO] 2017-10-04 17:14:25,365: publisherUpdate[/rosout] -> http://ubuntu:35446/ ['http://ubuntu:42880/', 'http://ubuntu:42934/', 'http://ubuntu:40841/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 17:14:25,366: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,378: +SUB [/tf_static] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,465: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,471: +SUB [/camera/image_raw] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,479: +PUB [/image/screenpoint] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,480: +PUB [/image/screenpoint_array] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,481: +PUB [/image/screenrectangle] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,481: +PUB [/image/screenrectangle_image] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,485: +PUB [/image/movepoint] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,486: +PUB [/image/foreground] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,489: +PUB [/image/background] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,490: +PUB [/image/foreground_rect] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,493: +PUB [/image/background_rect] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,494: +PUB [/image/line] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,497: +PUB [/image/poly] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,608: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,609: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,610: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,611: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,614: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,616: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,624: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,627: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,627: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,633: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,664: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,665: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,666: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,667: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42934/
[rosmaster.master][INFO] 2017-10-04 17:14:25,672: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 17:14:25,681: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-04 17:14:25,682: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-04 17:14:25,692: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 17:14:25,693: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-04 17:14:25,696: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-04 17:14:25,717: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,719: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,720: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,722: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:40841/
[rosmaster.master][INFO] 2017-10-04 17:14:25,735: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-10-04 17:14:25,737: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-10-04 17:14:25,744: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-10-04 17:14:25,749: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-10-04 17:14:25,750: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-10-04 17:14:25,757: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-10-04 17:14:25,765: +PUB [/image/compressed] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,768: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,769: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,777: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:42880/
[rosmaster.master][INFO] 2017-10-04 17:14:25,789: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,793: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,795: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,797: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,801: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,807: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 17:14:25,837: +PUB [/image_marked/compressed] /view http://ubuntu:42934/
