[rosmaster.main][INFO] 2017-10-04 13:04:00,224: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:04:00,224: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:04:00,225: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:04:00,225: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:04:00,225: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:04:00,225: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:04:00,253: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:04:00,254: +PARAM [/roslaunch/uris/host_ubuntu__36252] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:04:00,318: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:04:00,318: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:04:00,318: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:04:00,334: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34115/
[rosmaster.master][INFO] 2017-10-04 13:04:00,335: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34115/
[rosmaster.master][INFO] 2017-10-04 13:04:00,341: +PUB [/rosout_agg] /rosout http://ubuntu:34115/
[rosmaster.master][INFO] 2017-10-04 13:04:00,376: +SUB [/rosout] /rosout http://ubuntu:34115/
[rosmaster.master][INFO] 2017-10-04 13:04:00,449: +PUB [/rosout] /mask_orange http://ubuntu:36483/
[rosmaster.master][INFO] 2017-10-04 13:04:00,450: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:36483/
[rosmaster.master][INFO] 2017-10-04 13:04:00,452: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:36483/
[rosmaster.master][INFO] 2017-10-04 13:04:00,485: +PUB [/rosout] /camera http://ubuntu:44249/
[rosmaster.master][INFO] 2017-10-04 13:04:00,488: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44249/
[rosmaster.master][INFO] 2017-10-04 13:04:00,489: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44249/
[rosmaster.master][INFO] 2017-10-04 13:04:00,512: +PUB [/rosout] /view http://ubuntu:32917/
[rosmaster.master][INFO] 2017-10-04 13:04:00,513: +SERVICE [/view/get_loggers] /view http://ubuntu:32917/
[rosmaster.master][INFO] 2017-10-04 13:04:00,515: +SERVICE [/view/set_logger_level] /view http://ubuntu:32917/
[rosmaster.master][INFO] 2017-10-04 13:04:00,526: publisherUpdate[/rosout] -> http://ubuntu:34115/ ['http://ubuntu:36483/']
[rosmaster.master][INFO] 2017-10-04 13:04:00,528: publisherUpdate[/rosout] -> http://ubuntu:34115/ ['http://ubuntu:36483/']: sec=0.00, result=[1, '', 0]
