[rosmaster.main][INFO] 2017-10-04 13:39:48,670: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:39:48,670: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:39:48,671: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:39:48,671: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:39:48,671: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:39:48,672: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:39:48,714: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:39:48,715: +PARAM [/roslaunch/uris/host_ubuntu__38738] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:39:48,796: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:39:48,797: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:39:48,797: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:39:48,809: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38068/
[rosmaster.master][INFO] 2017-10-04 13:39:48,810: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38068/
[rosmaster.master][INFO] 2017-10-04 13:39:48,817: +PUB [/rosout_agg] /rosout http://ubuntu:38068/
[rosmaster.master][INFO] 2017-10-04 13:39:48,840: +SUB [/rosout] /rosout http://ubuntu:38068/
[rosmaster.master][INFO] 2017-10-04 13:39:48,933: +PUB [/rosout] /mask_orange http://ubuntu:40511/
[rosmaster.master][INFO] 2017-10-04 13:39:48,936: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:40511/
[rosmaster.master][INFO] 2017-10-04 13:39:48,942: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:40511/
[rosmaster.master][INFO] 2017-10-04 13:39:48,973: publisherUpdate[/rosout] -> http://ubuntu:38068/ ['http://ubuntu:40511/']
[rosmaster.master][INFO] 2017-10-04 13:39:48,975: publisherUpdate[/rosout] -> http://ubuntu:38068/ ['http://ubuntu:40511/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:39:48,975: +PUB [/rosout] /camera http://ubuntu:38565/
[rosmaster.master][INFO] 2017-10-04 13:39:48,976: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38565/
[rosmaster.master][INFO] 2017-10-04 13:39:48,976: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38565/
[rosmaster.master][INFO] 2017-10-04 13:39:48,986: +PUB [/rosout] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:48,988: +SERVICE [/view/get_loggers] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:48,991: +SERVICE [/view/set_logger_level] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,008: +SUB [/tf] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,016: +SUB [/tf_static] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,033: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:38565/
[rosmaster.master][INFO] 2017-10-04 13:39:49,065: +PUB [/image/screenpoint] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,066: +PUB [/image/screenpoint_array] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,067: +PUB [/image/screenrectangle] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,068: +PUB [/image/screenrectangle_image] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,069: +PUB [/image/movepoint] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,069: +PUB [/image/foreground] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,070: +PUB [/image/background] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,072: +PUB [/image/foreground_rect] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,073: +PUB [/image/background_rect] /view http://ubuntu:37355/
[rosmaster.master][INFO] 2017-10-04 13:39:49,074: +PUB [/image/line] /view http://ubuntu:37355/
