[rosmaster.main][INFO] 2017-09-21 19:17:22,564: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:17:22,564: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:17:22,565: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 19:17:22,565: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:17:22,565: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:17:22,565: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 19:17:22,619: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:22,620: +PARAM [/roslaunch/uris/host_ubuntu__35876] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:22,702: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:22,702: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:22,703: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:22,710: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39172/
[rosmaster.master][INFO] 2017-09-21 19:17:22,711: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39172/
[rosmaster.master][INFO] 2017-09-21 19:17:22,714: +PUB [/rosout_agg] /rosout http://ubuntu:39172/
[rosmaster.master][INFO] 2017-09-21 19:17:22,718: +SUB [/rosout] /rosout http://ubuntu:39172/
[rosmaster.master][INFO] 2017-09-21 19:17:22,807: +PUB [/rosout] /image_converter http://ubuntu:37049/
[rosmaster.master][INFO] 2017-09-21 19:17:22,808: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37049/
[rosmaster.master][INFO] 2017-09-21 19:17:22,810: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37049/
[rosmaster.master][INFO] 2017-09-21 19:17:22,860: +PUB [/rosout] /camera http://ubuntu:45997/
[rosmaster.master][INFO] 2017-09-21 19:17:22,860: +SERVICE [/camera/get_loggers] /camera http://ubuntu:45997/
[rosmaster.master][INFO] 2017-09-21 19:17:22,861: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:45997/
[rosmaster.master][INFO] 2017-09-21 19:17:22,868: publisherUpdate[/rosout] -> http://ubuntu:39172/ ['http://ubuntu:37049/']
[rosmaster.master][INFO] 2017-09-21 19:17:22,869: publisherUpdate[/rosout] -> http://ubuntu:39172/ ['http://ubuntu:37049/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:17:22,869: publisherUpdate[/rosout] -> http://ubuntu:39172/ ['http://ubuntu:37049/', 'http://ubuntu:45997/']
[rosmaster.master][INFO] 2017-09-21 19:17:22,870: publisherUpdate[/rosout] -> http://ubuntu:39172/ ['http://ubuntu:37049/', 'http://ubuntu:45997/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:17:22,870: +PUB [/rosout] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,878: +SERVICE [/view/get_loggers] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,879: +SERVICE [/view/set_logger_level] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,892: +SUB [/tf] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,899: +SUB [/tf_static] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,934: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:45997/
[rosmaster.master][INFO] 2017-09-21 19:17:22,953: +PUB [/image/screenpoint] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,954: +SUB [/camera/image_raw] /image_converter http://ubuntu:37049/
[rosmaster.master][INFO] 2017-09-21 19:17:22,955: +PUB [/image/screenpoint_array] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,956: +PUB [/image/screenrectangle] /view http://ubuntu:43062/
[rosmaster.master][INFO] 2017-09-21 19:17:22,958: +PUB [/image/screenrectangle_image] /view http://ubuntu:43062/
