[rosmaster.main][INFO] 2017-10-04 16:38:49,232: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 16:38:49,232: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 16:38:49,233: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 16:38:49,233: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 16:38:49,233: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 16:38:49,234: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 16:38:49,288: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:38:49,289: +PARAM [/roslaunch/uris/host_ubuntu__45424] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:38:49,352: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:38:49,352: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:38:49,352: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:38:49,367: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34789/
[rosmaster.master][INFO] 2017-10-04 16:38:49,368: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34789/
[rosmaster.master][INFO] 2017-10-04 16:38:49,377: +PUB [/rosout_agg] /rosout http://ubuntu:34789/
[rosmaster.master][INFO] 2017-10-04 16:38:49,389: +SUB [/rosout] /rosout http://ubuntu:34789/
[rosmaster.master][INFO] 2017-10-04 16:38:49,463: +PUB [/rosout] /mask_orange http://ubuntu:33253/
[rosmaster.master][INFO] 2017-10-04 16:38:49,465: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33253/
[rosmaster.master][INFO] 2017-10-04 16:38:49,465: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33253/
[rosmaster.master][INFO] 2017-10-04 16:38:49,502: +PUB [/rosout] /camera http://ubuntu:39609/
[rosmaster.master][INFO] 2017-10-04 16:38:49,503: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39609/
