[rosmaster.main][INFO] 2017-09-20 17:02:36,620: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 17:02:36,620: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 17:02:36,624: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 17:02:36,624: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 17:02:36,624: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 17:02:36,625: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 17:02:36,705: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:02:36,707: +PARAM [/roslaunch/uris/host_ubuntu__38801] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:02:36,837: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:02:36,837: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:02:36,837: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:02:36,896: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43877/
[rosmaster.master][INFO] 2017-09-20 17:02:36,900: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43877/
[rosmaster.master][INFO] 2017-09-20 17:02:36,906: +PUB [/rosout_agg] /rosout http://ubuntu:43877/
[rosmaster.master][INFO] 2017-09-20 17:02:36,953: +SUB [/rosout] /rosout http://ubuntu:43877/
[rosmaster.master][INFO] 2017-09-20 17:02:37,097: +PUB [/rosout] /image_converter http://ubuntu:43030/
[rosmaster.master][INFO] 2017-09-20 17:02:37,099: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43030/
[rosmaster.master][INFO] 2017-09-20 17:02:37,101: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43030/
[rosmaster.master][INFO] 2017-09-20 17:02:37,123: publisherUpdate[/rosout] -> http://ubuntu:43877/ ['http://ubuntu:43030/']
[rosmaster.master][INFO] 2017-09-20 17:02:37,125: publisherUpdate[/rosout] -> http://ubuntu:43877/ ['http://ubuntu:43030/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:02:37,230: +PUB [/rosout] /camera http://ubuntu:39158/
[rosmaster.master][INFO] 2017-09-20 17:02:37,232: +PUB [/rosout] /view http://ubuntu:45090/
[rosmaster.master][INFO] 2017-09-20 17:02:37,234: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39158/
[rosmaster.master][INFO] 2017-09-20 17:02:37,242: +SERVICE [/view/get_loggers] /view http://ubuntu:45090/
[rosmaster.master][INFO] 2017-09-20 17:02:37,242: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39158/
[rosmaster.master][INFO] 2017-09-20 17:02:37,243: +SERVICE [/view/set_logger_level] /view http://ubuntu:45090/
[rosmaster.master][INFO] 2017-09-20 17:02:37,273: +SUB [/tf] /view http://ubuntu:45090/
[rosmaster.master][INFO] 2017-09-20 17:02:37,301: +SUB [/tf_static] /view http://ubuntu:45090/
[rosmaster.master][INFO] 2017-09-20 17:02:37,327: publisherUpdate[/rosout] -> http://ubuntu:43877/ ['http://ubuntu:43030/', 'http://ubuntu:39158/']
