[rosmaster.main][INFO] 2017-09-21 17:58:42,682: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:58:42,682: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:58:42,683: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 17:58:42,683: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:58:42,683: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:58:42,683: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 17:58:42,745: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:42,749: +PARAM [/roslaunch/uris/host_ubuntu__46489] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:42,831: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:42,831: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:42,831: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:42,840: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36190/
[rosmaster.master][INFO] 2017-09-21 17:58:42,841: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36190/
[rosmaster.master][INFO] 2017-09-21 17:58:42,843: +PUB [/rosout_agg] /rosout http://ubuntu:36190/
[rosmaster.master][INFO] 2017-09-21 17:58:42,859: +SUB [/rosout] /rosout http://ubuntu:36190/
[rosmaster.master][INFO] 2017-09-21 17:58:42,934: +PUB [/rosout] /image_converter http://ubuntu:35924/
[rosmaster.master][INFO] 2017-09-21 17:58:42,935: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:35924/
[rosmaster.master][INFO] 2017-09-21 17:58:42,936: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:35924/
[rosmaster.master][INFO] 2017-09-21 17:58:42,975: +PUB [/rosout] /camera http://ubuntu:43099/
[rosmaster.master][INFO] 2017-09-21 17:58:42,982: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43099/
[rosmaster.master][INFO] 2017-09-21 17:58:42,983: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43099/
[rosmaster.master][INFO] 2017-09-21 17:58:42,984: publisherUpdate[/rosout] -> http://ubuntu:36190/ ['http://ubuntu:35924/']
[rosmaster.master][INFO] 2017-09-21 17:58:42,985: publisherUpdate[/rosout] -> http://ubuntu:36190/ ['http://ubuntu:35924/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:58:42,985: publisherUpdate[/rosout] -> http://ubuntu:36190/ ['http://ubuntu:35924/', 'http://ubuntu:43099/']
[rosmaster.master][INFO] 2017-09-21 17:58:42,986: publisherUpdate[/rosout] -> http://ubuntu:36190/ ['http://ubuntu:35924/', 'http://ubuntu:43099/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:58:42,996: +PUB [/rosout] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:42,998: +SERVICE [/view/get_loggers] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,002: +SERVICE [/view/set_logger_level] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,012: +SUB [/tf] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,023: +SUB [/tf_static] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,058: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43099/
[rosmaster.master][INFO] 2017-09-21 17:58:43,075: +PUB [/image/screenpoint] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,076: +PUB [/image/screenpoint_array] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,077: +PUB [/image/screenrectangle] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,077: +PUB [/image/screenrectangle_image] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,078: +PUB [/image/movepoint] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,079: +PUB [/image/foreground] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,082: +PUB [/image/background] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,082: +PUB [/image/foreground_rect] /view http://ubuntu:45006/
[rosmaster.master][INFO] 2017-09-21 17:58:43,084: +PUB [/image/background_rect] /view http://ubuntu:45006/
