[rosmaster.main][INFO] 2017-09-26 18:57:15,261: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:57:15,261: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:57:15,262: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:57:15,262: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:57:15,262: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:57:15,262: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:57:15,295: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:57:15,297: +PARAM [/roslaunch/uris/host_ubuntu__40318] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:57:15,386: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:57:15,386: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:57:15,386: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:57:15,416: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:40356/
[rosmaster.master][INFO] 2017-09-26 18:57:15,420: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:40356/
[rosmaster.master][INFO] 2017-09-26 18:57:15,423: +PUB [/rosout_agg] /rosout http://ubuntu:40356/
[rosmaster.master][INFO] 2017-09-26 18:57:15,447: +SUB [/rosout] /rosout http://ubuntu:40356/
[rosmaster.master][INFO] 2017-09-26 18:57:15,574: +PUB [/rosout] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,580: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,580: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,663: publisherUpdate[/rosout] -> http://ubuntu:40356/ ['http://ubuntu:37442/']
[rosmaster.master][INFO] 2017-09-26 18:57:15,665: publisherUpdate[/rosout] -> http://ubuntu:40356/ ['http://ubuntu:37442/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:57:15,675: +PUB [/rosout] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,679: +SERVICE [/view/get_loggers] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,680: +SERVICE [/view/set_logger_level] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,684: +PUB [/rosout] /camera http://ubuntu:44627/
[rosmaster.master][INFO] 2017-09-26 18:57:15,686: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44627/
[rosmaster.master][INFO] 2017-09-26 18:57:15,691: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44627/
[rosmaster.master][INFO] 2017-09-26 18:57:15,700: +SUB [/tf] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,724: +SUB [/tf_static] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,764: publisherUpdate[/rosout] -> http://ubuntu:40356/ ['http://ubuntu:37442/', 'http://ubuntu:39396/']
[rosmaster.master][INFO] 2017-09-26 18:57:15,765: publisherUpdate[/rosout] -> http://ubuntu:40356/ ['http://ubuntu:37442/', 'http://ubuntu:39396/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:57:15,765: publisherUpdate[/rosout] -> http://ubuntu:40356/ ['http://ubuntu:37442/', 'http://ubuntu:39396/', 'http://ubuntu:44627/']
[rosmaster.master][INFO] 2017-09-26 18:57:15,766: publisherUpdate[/rosout] -> http://ubuntu:40356/ ['http://ubuntu:37442/', 'http://ubuntu:39396/', 'http://ubuntu:44627/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:57:15,782: +SUB [/camera/image_raw] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,799: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44627/
[rosmaster.master][INFO] 2017-09-26 18:57:15,811: +PUB [/image/screenpoint] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,812: +PUB [/image/screenpoint_array] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,813: +PUB [/image/screenrectangle] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,814: +PUB [/image/screenrectangle_image] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,815: +PUB [/image/movepoint] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,816: +PUB [/image/foreground] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,818: +PUB [/image/background] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,824: +PUB [/image/foreground_rect] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,829: +PUB [/image/background_rect] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,831: +PUB [/image/line] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,836: +PUB [/image/poly] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,919: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,920: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,921: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,922: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:15,932: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:15,932: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:15,935: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:15,939: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:15,942: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:15,943: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:15,983: +PUB [/image_marked/compressedDepth] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,987: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,988: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,991: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:15,993: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:57:15,996: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:57:15,997: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:57:16,000: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:57:16,004: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:57:16,006: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:57:16,060: +PUB [/image/compressed] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:16,060: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:16,061: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:16,062: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:37442/
[rosmaster.master][INFO] 2017-09-26 18:57:16,072: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:16,079: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:16,080: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:16,081: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:16,085: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:16,091: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:57:16,129: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:44627/
[rosmaster.master][INFO] 2017-09-26 18:57:16,131: +PUB [/image_marked/compressed] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:16,132: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:39396/
[rosmaster.master][INFO] 2017-09-26 18:57:16,133: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:44627/
[rosmaster.master][INFO] 2017-09-26 18:57:16,134: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:39396/
