[rosmaster.main][INFO] 2017-09-27 17:37:21,313: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-27 17:37:21,313: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-27 17:37:21,313: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-27 17:37:21,314: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-27 17:37:21,314: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-27 17:37:21,314: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-27 17:37:21,367: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:37:21,369: +PARAM [/roslaunch/uris/host_ubuntu__36345] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:37:21,433: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:37:21,433: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:37:21,433: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:37:21,453: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34536/
[rosmaster.master][INFO] 2017-09-27 17:37:21,454: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34536/
[rosmaster.master][INFO] 2017-09-27 17:37:21,456: +PUB [/rosout_agg] /rosout http://ubuntu:34536/
[rosmaster.master][INFO] 2017-09-27 17:37:21,476: +SUB [/rosout] /rosout http://ubuntu:34536/
[rosmaster.master][INFO] 2017-09-27 17:37:21,573: +PUB [/rosout] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,575: +SERVICE [/mask/get_loggers] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,576: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,581: +PUB [/rosout] /camera http://ubuntu:39729/
[rosmaster.master][INFO] 2017-09-27 17:37:21,583: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39729/
[rosmaster.master][INFO] 2017-09-27 17:37:21,584: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39729/
[rosmaster.master][INFO] 2017-09-27 17:37:21,606: +PUB [/rosout] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,607: +SERVICE [/view/get_loggers] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,608: +SERVICE [/view/set_logger_level] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,615: publisherUpdate[/rosout] -> http://ubuntu:34536/ ['http://ubuntu:45913/']
[rosmaster.master][INFO] 2017-09-27 17:37:21,619: publisherUpdate[/rosout] -> http://ubuntu:34536/ ['http://ubuntu:45913/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:37:21,620: publisherUpdate[/rosout] -> http://ubuntu:34536/ ['http://ubuntu:45913/', 'http://ubuntu:39729/']
[rosmaster.master][INFO] 2017-09-27 17:37:21,623: publisherUpdate[/rosout] -> http://ubuntu:34536/ ['http://ubuntu:45913/', 'http://ubuntu:39729/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:37:21,623: publisherUpdate[/rosout] -> http://ubuntu:34536/ ['http://ubuntu:45913/', 'http://ubuntu:39729/', 'http://ubuntu:41103/']
[rosmaster.master][INFO] 2017-09-27 17:37:21,624: publisherUpdate[/rosout] -> http://ubuntu:34536/ ['http://ubuntu:45913/', 'http://ubuntu:39729/', 'http://ubuntu:41103/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:37:21,624: +SUB [/tf] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,635: +SUB [/tf_static] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,639: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:39729/
[rosmaster.master][INFO] 2017-09-27 17:37:21,678: +PUB [/image/screenpoint] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,679: +PUB [/image/screenpoint_array] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,680: +PUB [/image/screenrectangle] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,680: +PUB [/image/screenrectangle_image] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,681: +PUB [/image/movepoint] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,682: +PUB [/image/foreground] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,682: +PUB [/image/background] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,683: +PUB [/image/foreground_rect] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,688: +PUB [/image/background_rect] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,688: +PUB [/image/line] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,689: +PUB [/image/poly] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,920: +SUB [/camera/image_raw] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,983: +PUB [/image_marked/compressedDepth] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,984: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,985: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,985: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:21,988: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:21,988: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:21,989: +PUB [/image/compressedDepth] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,989: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:21,990: +SERVICE [/image/compressedDepth/set_parameters] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,991: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:21,992: +PUB [/image/compressedDepth/parameter_descriptions] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,992: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:21,993: +PUB [/image/compressedDepth/parameter_updates] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:21,994: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,001: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,002: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,003: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,007: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,007: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,008: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,059: +PUB [/image_marked/compressed] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:22,063: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:22,064: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:22,065: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:41103/
[rosmaster.master][INFO] 2017-09-27 17:37:22,067: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,068: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,069: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,069: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,070: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,072: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:37:22,083: +PUB [/image/compressed] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:22,087: +SERVICE [/image/compressed/set_parameters] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:22,088: +PUB [/image/compressed/parameter_descriptions] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:22,089: +PUB [/image/compressed/parameter_updates] /mask http://ubuntu:45913/
[rosmaster.master][INFO] 2017-09-27 17:37:22,091: +PARAM [/image/compressed/format] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,092: +PARAM [/image/compressed/jpeg_quality] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,093: +PARAM [/image/compressed/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,093: +PARAM [/image/compressed/format] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,094: +PARAM [/image/compressed/jpeg_quality] by /mask
[rosmaster.master][INFO] 2017-09-27 17:37:22,096: +PARAM [/image/compressed/png_level] by /mask
