[rosmaster.main][INFO] 2017-10-10 18:40:44,027: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-10 18:40:44,027: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-10 18:40:44,028: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-10 18:40:44,028: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-10 18:40:44,028: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-10 18:40:44,028: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-10 18:40:44,047: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:40:44,049: +PARAM [/roslaunch/uris/host_ubuntu__37253] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:40:44,121: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:40:44,121: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:40:44,121: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:40:44,240: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41755/
[rosmaster.master][INFO] 2017-10-10 18:40:44,241: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41755/
[rosmaster.master][INFO] 2017-10-10 18:40:44,248: +PUB [/rosout_agg] /rosout http://ubuntu:41755/
[rosmaster.master][INFO] 2017-10-10 18:40:44,270: +SUB [/rosout] /rosout http://ubuntu:41755/
[rosmaster.master][INFO] 2017-10-10 18:40:44,369: +PUB [/rosout] /mask_orange http://ubuntu:33274/
[rosmaster.master][INFO] 2017-10-10 18:40:44,371: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33274/
[rosmaster.master][INFO] 2017-10-10 18:40:44,372: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33274/
[rosmaster.master][INFO] 2017-10-10 18:40:44,430: publisherUpdate[/rosout] -> http://ubuntu:41755/ ['http://ubuntu:33274/']
[rosmaster.master][INFO] 2017-10-10 18:40:44,432: publisherUpdate[/rosout] -> http://ubuntu:41755/ ['http://ubuntu:33274/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:40:44,442: +PUB [/rosout] /camera http://ubuntu:34294/
[rosmaster.master][INFO] 2017-10-10 18:40:44,443: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34294/
[rosmaster.master][INFO] 2017-10-10 18:40:44,443: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34294/
[rosmaster.master][INFO] 2017-10-10 18:40:44,494: +PUB [/rosout] /view http://ubuntu:43736/
[rosmaster.master][INFO] 2017-10-10 18:40:44,496: +SERVICE [/view/get_loggers] /view http://ubuntu:43736/
[rosmaster.master][INFO] 2017-10-10 18:40:44,496: +SERVICE [/view/set_logger_level] /view http://ubuntu:43736/
[rosmaster.master][INFO] 2017-10-10 18:40:44,516: +SUB [/tf] /view http://ubuntu:43736/
