[rosmaster.main][INFO] 2017-09-26 18:50:13,153: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:50:13,153: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:50:13,154: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:50:13,154: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:50:13,154: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:50:13,155: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:50:13,194: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:50:13,195: +PARAM [/roslaunch/uris/host_ubuntu__45707] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:50:13,266: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:50:13,266: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:50:13,266: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:50:13,280: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35768/
[rosmaster.master][INFO] 2017-09-26 18:50:13,281: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35768/
[rosmaster.master][INFO] 2017-09-26 18:50:13,283: +PUB [/rosout_agg] /rosout http://ubuntu:35768/
[rosmaster.master][INFO] 2017-09-26 18:50:13,297: +SUB [/rosout] /rosout http://ubuntu:35768/
[rosmaster.master][INFO] 2017-09-26 18:50:13,395: +PUB [/rosout] /mask_orange http://ubuntu:33075/
[rosmaster.master][INFO] 2017-09-26 18:50:13,399: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33075/
[rosmaster.master][INFO] 2017-09-26 18:50:13,403: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33075/
[rosmaster.master][INFO] 2017-09-26 18:50:13,455: publisherUpdate[/rosout] -> http://ubuntu:35768/ ['http://ubuntu:33075/']
[rosmaster.master][INFO] 2017-09-26 18:50:13,456: publisherUpdate[/rosout] -> http://ubuntu:35768/ ['http://ubuntu:33075/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:50:13,457: +PUB [/rosout] /camera http://ubuntu:42595/
