[rosmaster.main][INFO] 2017-09-22 16:03:10,596: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 16:03:10,596: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 16:03:10,597: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 16:03:10,597: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 16:03:10,597: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 16:03:10,597: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 16:03:10,655: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:03:10,659: +PARAM [/roslaunch/uris/host_ubuntu__39750] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:03:10,762: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:03:10,762: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:03:10,762: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:03:10,795: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33882/
[rosmaster.master][INFO] 2017-09-22 16:03:10,797: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33882/
[rosmaster.master][INFO] 2017-09-22 16:03:10,803: +PUB [/rosout_agg] /rosout http://ubuntu:33882/
[rosmaster.master][INFO] 2017-09-22 16:03:10,835: +SUB [/rosout] /rosout http://ubuntu:33882/
[rosmaster.master][INFO] 2017-09-22 16:03:10,924: +PUB [/rosout] /image_converter http://ubuntu:34895/
[rosmaster.master][INFO] 2017-09-22 16:03:10,925: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:34895/
[rosmaster.master][INFO] 2017-09-22 16:03:10,925: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:34895/
[rosmaster.master][INFO] 2017-09-22 16:03:10,962: +PUB [/rosout] /camera http://ubuntu:39518/
[rosmaster.master][INFO] 2017-09-22 16:03:10,963: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39518/
[rosmaster.master][INFO] 2017-09-22 16:03:10,964: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39518/
[rosmaster.master][INFO] 2017-09-22 16:03:10,994: +PUB [/rosout] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:10,995: +SERVICE [/view/get_loggers] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:10,996: +SERVICE [/view/set_logger_level] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:10,999: publisherUpdate[/rosout] -> http://ubuntu:33882/ ['http://ubuntu:34895/']
[rosmaster.master][INFO] 2017-09-22 16:03:11,004: publisherUpdate[/rosout] -> http://ubuntu:33882/ ['http://ubuntu:34895/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:03:11,004: publisherUpdate[/rosout] -> http://ubuntu:33882/ ['http://ubuntu:34895/', 'http://ubuntu:39518/']
[rosmaster.master][INFO] 2017-09-22 16:03:11,006: publisherUpdate[/rosout] -> http://ubuntu:33882/ ['http://ubuntu:34895/', 'http://ubuntu:39518/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:03:11,006: publisherUpdate[/rosout] -> http://ubuntu:33882/ ['http://ubuntu:34895/', 'http://ubuntu:39518/', 'http://ubuntu:44049/']
[rosmaster.master][INFO] 2017-09-22 16:03:11,010: publisherUpdate[/rosout] -> http://ubuntu:33882/ ['http://ubuntu:34895/', 'http://ubuntu:39518/', 'http://ubuntu:44049/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:03:11,014: +SUB [/tf] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:11,023: +SUB [/tf_static] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:11,032: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:39518/
[rosmaster.master][INFO] 2017-09-22 16:03:11,065: +PUB [/image/screenpoint] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:11,066: +PUB [/image/screenpoint_array] /view http://ubuntu:44049/
[rosmaster.master][INFO] 2017-09-22 16:03:11,067: +PUB [/image/screenrectangle] /view http://ubuntu:44049/
