[rosmaster.main][INFO] 2017-09-21 17:58:54,931: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:58:54,931: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:58:54,932: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-21 17:58:54,932: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:58:54,932: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:58:54,932: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:58:54,987: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:54,988: +PARAM [/roslaunch/uris/host_ubuntu__33321] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:55,056: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:55,056: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:55,057: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:58:55,074: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41134/
[rosmaster.master][INFO] 2017-09-21 17:58:55,075: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41134/
[rosmaster.master][INFO] 2017-09-21 17:58:55,077: +PUB [/rosout_agg] /rosout http://ubuntu:41134/
[rosmaster.master][INFO] 2017-09-21 17:58:55,081: +SUB [/rosout] /rosout http://ubuntu:41134/
[rosmaster.master][INFO] 2017-09-21 17:58:55,161: +PUB [/rosout] /image_converter http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-21 17:58:55,162: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-21 17:58:55,169: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-21 17:58:55,207: +PUB [/rosout] /camera http://ubuntu:43733/
[rosmaster.master][INFO] 2017-09-21 17:58:55,207: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43733/
[rosmaster.master][INFO] 2017-09-21 17:58:55,210: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43733/
[rosmaster.master][INFO] 2017-09-21 17:58:55,226: +PUB [/rosout] /view http://ubuntu:42752/
[rosmaster.master][INFO] 2017-09-21 17:58:55,230: +SERVICE [/view/get_loggers] /view http://ubuntu:42752/
[rosmaster.master][INFO] 2017-09-21 17:58:55,230: +SERVICE [/view/set_logger_level] /view http://ubuntu:42752/
[rosmaster.master][INFO] 2017-09-21 17:58:55,233: publisherUpdate[/rosout] -> http://ubuntu:41134/ ['http://ubuntu:37472/']
[rosmaster.master][INFO] 2017-09-21 17:58:55,234: publisherUpdate[/rosout] -> http://ubuntu:41134/ ['http://ubuntu:37472/']: sec=0.00, result=[1, '', 0]
