[rosmaster.main][INFO] 2017-08-20 01:32:30,779: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-08-20 01:32:30,779: Starting ROS Master Node
[xmlrpc][INFO] 2017-08-20 01:32:30,798: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-08-20 01:32:30,798: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-08-20 01:32:30,798: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-08-20 01:32:30,799: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-08-20 01:32:30,837: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-08-20 01:32:30,838: +PARAM [/roslaunch/uris/host_ubuntu__38534] by /roslaunch
[rosmaster.master][INFO] 2017-08-20 01:32:30,923: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-08-20 01:32:30,923: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-08-20 01:32:30,983: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45818/
[rosmaster.master][INFO] 2017-08-20 01:32:30,984: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45818/
[rosmaster.master][INFO] 2017-08-20 01:32:30,986: +PUB [/rosout_agg] /rosout http://ubuntu:45818/
[rosmaster.master][INFO] 2017-08-20 01:32:30,990: +SUB [/rosout] /rosout http://ubuntu:45818/
[rosmaster.master][INFO] 2017-08-20 01:46:33,300: -PUB [/rosout_agg] /rosout http://ubuntu:45818/
[rosmaster.master][INFO] 2017-08-20 01:46:33,314: -SUB [/rosout] /rosout http://ubuntu:45818/
[rosmaster.master][INFO] 2017-08-20 01:46:33,316: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ubuntu:45771
[rosmaster.master][INFO] 2017-08-20 01:46:33,318: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ubuntu:45771
[rosmaster.main][INFO] 2017-08-20 01:46:33,363: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-08-20 01:46:33,364: stopping master...
[rospy.core][INFO] 2017-08-20 01:46:33,374: signal_shutdown [atexit]
