[rosmaster.main][INFO] 2017-09-26 19:04:41,583: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 19:04:41,583: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 19:04:41,584: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 19:04:41,584: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 19:04:41,585: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 19:04:41,585: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 19:04:41,621: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:04:41,622: +PARAM [/roslaunch/uris/host_ubuntu__34535] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:04:41,708: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:04:41,708: +PARAM [/mask_orange/high_h] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:04:41,708: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:04:41,709: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:04:41,739: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:32940/
[rosmaster.master][INFO] 2017-09-26 19:04:41,741: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:32940/
[rosmaster.master][INFO] 2017-09-26 19:04:41,743: +PUB [/rosout_agg] /rosout http://ubuntu:32940/
[rosmaster.master][INFO] 2017-09-26 19:04:41,764: +SUB [/rosout] /rosout http://ubuntu:32940/
[rosmaster.master][INFO] 2017-09-26 19:04:41,838: +PUB [/rosout] /mask_orange http://ubuntu:41399/
[rosmaster.master][INFO] 2017-09-26 19:04:41,839: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:41399/
[rosmaster.master][INFO] 2017-09-26 19:04:41,840: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:41399/
[rosmaster.master][INFO] 2017-09-26 19:04:41,885: publisherUpdate[/rosout] -> http://ubuntu:32940/ ['http://ubuntu:41399/']
[rosmaster.master][INFO] 2017-09-26 19:04:41,887: publisherUpdate[/rosout] -> http://ubuntu:32940/ ['http://ubuntu:41399/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 19:04:41,923: +PUB [/rosout] /camera http://ubuntu:39538/
[rosmaster.master][INFO] 2017-09-26 19:04:41,925: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39538/
[rosmaster.master][INFO] 2017-09-26 19:04:41,926: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39538/
[rosmaster.master][INFO] 2017-09-26 19:04:41,957: +PUB [/rosout] /view http://ubuntu:38012/
[rosmaster.master][INFO] 2017-09-26 19:04:41,959: +SERVICE [/view/get_loggers] /view http://ubuntu:38012/
[rosmaster.master][INFO] 2017-09-26 19:04:41,961: +SERVICE [/view/set_logger_level] /view http://ubuntu:38012/
[rosmaster.master][INFO] 2017-09-26 19:04:41,977: +SUB [/tf] /view http://ubuntu:38012/
[rosmaster.master][INFO] 2017-09-26 19:04:41,987: publisherUpdate[/rosout] -> http://ubuntu:32940/ ['http://ubuntu:41399/', 'http://ubuntu:39538/']
[rosmaster.master][INFO] 2017-09-26 19:04:41,991: publisherUpdate[/rosout] -> http://ubuntu:32940/ ['http://ubuntu:41399/', 'http://ubuntu:39538/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 19:04:41,995: publisherUpdate[/rosout] -> http://ubuntu:32940/ ['http://ubuntu:41399/', 'http://ubuntu:39538/', 'http://ubuntu:38012/']
