[rosmaster.main][INFO] 2017-09-21 19:17:54,850: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:17:54,850: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:17:54,851: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-21 19:17:54,851: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:17:54,851: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:17:54,851: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:17:54,912: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:54,916: +PARAM [/roslaunch/uris/host_ubuntu__40604] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:55,002: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:55,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:55,003: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:17:55,021: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33386/
[rosmaster.master][INFO] 2017-09-21 19:17:55,022: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33386/
[rosmaster.master][INFO] 2017-09-21 19:17:55,024: +PUB [/rosout_agg] /rosout http://ubuntu:33386/
[rosmaster.master][INFO] 2017-09-21 19:17:55,039: +SUB [/rosout] /rosout http://ubuntu:33386/
[rosmaster.master][INFO] 2017-09-21 19:17:55,121: +PUB [/rosout] /image_converter http://ubuntu:36701/
[rosmaster.master][INFO] 2017-09-21 19:17:55,122: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36701/
[rosmaster.master][INFO] 2017-09-21 19:17:55,123: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36701/
[rosmaster.master][INFO] 2017-09-21 19:17:55,152: publisherUpdate[/rosout] -> http://ubuntu:33386/ ['http://ubuntu:36701/']
[rosmaster.master][INFO] 2017-09-21 19:17:55,153: publisherUpdate[/rosout] -> http://ubuntu:33386/ ['http://ubuntu:36701/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:17:55,164: +PUB [/rosout] /camera http://ubuntu:43000/
[rosmaster.master][INFO] 2017-09-21 19:17:55,164: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43000/
[rosmaster.master][INFO] 2017-09-21 19:17:55,165: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43000/
[rosmaster.master][INFO] 2017-09-21 19:17:55,176: +PUB [/rosout] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,176: +SERVICE [/view/get_loggers] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,177: +SERVICE [/view/set_logger_level] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,185: +SUB [/tf] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,196: +SUB [/tf_static] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,240: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43000/
[rosmaster.master][INFO] 2017-09-21 19:17:55,250: +PUB [/image/screenpoint] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,250: +PUB [/image/screenpoint_array] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,251: +PUB [/image/screenrectangle] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,252: +PUB [/image/screenrectangle_image] /view http://ubuntu:33497/
[rosmaster.master][INFO] 2017-09-21 19:17:55,253: +PUB [/image/movepoint] /view http://ubuntu:33497/
