[rosmaster.main][INFO] 2017-09-21 19:10:46,734: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:10:46,734: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:10:46,734: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 19:10:46,735: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:10:46,735: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:10:46,735: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 19:10:46,779: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:10:46,781: +PARAM [/roslaunch/uris/host_ubuntu__34710] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:10:46,858: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:10:46,858: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:10:46,858: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:10:46,886: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36647/
[rosmaster.master][INFO] 2017-09-21 19:10:46,888: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36647/
[rosmaster.master][INFO] 2017-09-21 19:10:46,889: +PUB [/rosout_agg] /rosout http://ubuntu:36647/
[rosmaster.master][INFO] 2017-09-21 19:10:46,905: +SUB [/rosout] /rosout http://ubuntu:36647/
[rosmaster.master][INFO] 2017-09-21 19:10:46,985: +PUB [/rosout] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:46,990: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:46,992: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:47,035: publisherUpdate[/rosout] -> http://ubuntu:36647/ ['http://ubuntu:37167/']
[rosmaster.master][INFO] 2017-09-21 19:10:47,037: publisherUpdate[/rosout] -> http://ubuntu:36647/ ['http://ubuntu:37167/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:10:47,085: +PUB [/rosout] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,086: +PUB [/rosout] /camera http://ubuntu:44936/
[rosmaster.master][INFO] 2017-09-21 19:10:47,087: +SERVICE [/view/get_loggers] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,088: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44936/
[rosmaster.master][INFO] 2017-09-21 19:10:47,090: +SERVICE [/view/set_logger_level] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,091: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44936/
[rosmaster.master][INFO] 2017-09-21 19:10:47,109: +SUB [/tf] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,120: +SUB [/tf_static] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,137: publisherUpdate[/rosout] -> http://ubuntu:36647/ ['http://ubuntu:37167/', 'http://ubuntu:34941/']
[rosmaster.master][INFO] 2017-09-21 19:10:47,137: publisherUpdate[/rosout] -> http://ubuntu:36647/ ['http://ubuntu:37167/', 'http://ubuntu:34941/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:10:47,138: publisherUpdate[/rosout] -> http://ubuntu:36647/ ['http://ubuntu:37167/', 'http://ubuntu:34941/', 'http://ubuntu:44936/']
[rosmaster.master][INFO] 2017-09-21 19:10:47,138: publisherUpdate[/rosout] -> http://ubuntu:36647/ ['http://ubuntu:37167/', 'http://ubuntu:34941/', 'http://ubuntu:44936/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:10:47,145: +SUB [/camera/image_raw] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:47,166: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44936/
[rosmaster.master][INFO] 2017-09-21 19:10:47,180: +PUB [/image/screenpoint] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,181: +PUB [/image/screenpoint_array] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,182: +PUB [/image/screenrectangle] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,182: +PUB [/image/screenrectangle_image] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,183: +PUB [/image/movepoint] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,183: +PUB [/image/foreground] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,184: +PUB [/image/background] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,185: +PUB [/image/foreground_rect] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,186: +PUB [/image/background_rect] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,187: +PUB [/image/line] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,190: +PUB [/image/poly] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-21 19:10:47,221: +PUB [/image/compressedDepth] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:47,222: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:47,222: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:47,223: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:37167/
[rosmaster.master][INFO] 2017-09-21 19:10:47,227: +PARAM [/image/compressedDepth/depth_max] by /image_converter
