[rosmaster.main][INFO] 2017-09-21 19:39:29,043: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:39:29,043: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:39:29,044: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 19:39:29,044: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:39:29,045: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:39:29,045: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 19:39:29,099: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:39:29,101: +PARAM [/roslaunch/uris/host_ubuntu__33767] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:39:29,179: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:39:29,179: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:39:29,179: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:39:29,224: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38126/
[rosmaster.master][INFO] 2017-09-21 19:39:29,226: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38126/
[rosmaster.master][INFO] 2017-09-21 19:39:29,234: +PUB [/rosout_agg] /rosout http://ubuntu:38126/
[rosmaster.master][INFO] 2017-09-21 19:39:29,263: +SUB [/rosout] /rosout http://ubuntu:38126/
[rosmaster.master][INFO] 2017-09-21 19:39:29,342: +PUB [/rosout] /image_converter http://ubuntu:38269/
[rosmaster.master][INFO] 2017-09-21 19:39:29,343: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:38269/
[rosmaster.master][INFO] 2017-09-21 19:39:29,345: publisherUpdate[/rosout] -> http://ubuntu:38126/ ['http://ubuntu:38269/']
[rosmaster.master][INFO] 2017-09-21 19:39:29,346: publisherUpdate[/rosout] -> http://ubuntu:38126/ ['http://ubuntu:38269/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:39:29,347: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:38269/
[rosmaster.master][INFO] 2017-09-21 19:39:29,418: +PUB [/rosout] /view http://ubuntu:41343/
[rosmaster.master][INFO] 2017-09-21 19:39:29,420: +SERVICE [/view/get_loggers] /view http://ubuntu:41343/
[rosmaster.master][INFO] 2017-09-21 19:39:29,423: +SERVICE [/view/set_logger_level] /view http://ubuntu:41343/
