[rosmaster.main][INFO] 2017-09-21 17:16:20,095: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:16:20,095: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:16:20,099: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 17:16:20,099: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:16:20,099: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:16:20,099: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 17:16:20,145: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:16:20,146: +PARAM [/roslaunch/uris/host_ubuntu__39388] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:16:20,227: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:16:20,227: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:16:20,227: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:16:20,275: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35148/
[rosmaster.master][INFO] 2017-09-21 17:16:20,276: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35148/
[rosmaster.master][INFO] 2017-09-21 17:16:20,284: +PUB [/rosout_agg] /rosout http://ubuntu:35148/
[rosmaster.master][INFO] 2017-09-21 17:16:20,309: +SUB [/rosout] /rosout http://ubuntu:35148/
[rosmaster.master][INFO] 2017-09-21 17:16:20,391: +PUB [/rosout] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,394: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,398: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,399: publisherUpdate[/rosout] -> http://ubuntu:35148/ ['http://ubuntu:43110/']
[rosmaster.master][INFO] 2017-09-21 17:16:20,401: publisherUpdate[/rosout] -> http://ubuntu:35148/ ['http://ubuntu:43110/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:16:20,481: +PUB [/rosout] /camera http://ubuntu:33013/
[rosmaster.master][INFO] 2017-09-21 17:16:20,483: +PUB [/rosout] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,483: +SERVICE [/camera/get_loggers] /camera http://ubuntu:33013/
[rosmaster.master][INFO] 2017-09-21 17:16:20,485: +SERVICE [/view/get_loggers] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,486: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:33013/
[rosmaster.master][INFO] 2017-09-21 17:16:20,490: +SERVICE [/view/set_logger_level] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,505: publisherUpdate[/rosout] -> http://ubuntu:35148/ ['http://ubuntu:43110/', 'http://ubuntu:33013/']
[rosmaster.master][INFO] 2017-09-21 17:16:20,506: publisherUpdate[/rosout] -> http://ubuntu:35148/ ['http://ubuntu:43110/', 'http://ubuntu:33013/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:16:20,506: publisherUpdate[/rosout] -> http://ubuntu:35148/ ['http://ubuntu:43110/', 'http://ubuntu:33013/', 'http://ubuntu:34271/']
[rosmaster.master][INFO] 2017-09-21 17:16:20,506: publisherUpdate[/rosout] -> http://ubuntu:35148/ ['http://ubuntu:43110/', 'http://ubuntu:33013/', 'http://ubuntu:34271/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:16:20,509: +SUB [/tf] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,519: +SUB [/tf_static] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,562: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:33013/
[rosmaster.master][INFO] 2017-09-21 17:16:20,568: +SUB [/camera/image_raw] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,576: +PUB [/image/screenpoint] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,577: +PUB [/image/screenpoint_array] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,578: +PUB [/image/screenrectangle] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,578: +PUB [/image/screenrectangle_image] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,579: +PUB [/image/movepoint] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,580: +PUB [/image/foreground] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,582: +PUB [/image/background] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,582: +PUB [/image/foreground_rect] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,585: +PUB [/image/background_rect] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,586: +PUB [/image/line] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,586: +PUB [/image/poly] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,635: +PUB [/image/compressedDepth] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,636: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,637: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,638: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,642: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,645: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,646: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,647: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,647: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,649: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,664: +PUB [/image_marked/compressedDepth] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,665: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,666: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,666: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:34271/
[rosmaster.master][INFO] 2017-09-21 17:16:20,669: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:16:20,669: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:16:20,670: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:16:20,671: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:16:20,674: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:16:20,674: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:16:20,710: +PUB [/image/compressed] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,711: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,711: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,712: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:43110/
[rosmaster.master][INFO] 2017-09-21 17:16:20,719: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,720: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,724: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,725: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:16:20,726: +PARAM [/image/compressed/jpeg_quality] by /image_converter
