[rosmaster.main][INFO] 2017-10-03 18:56:39,690: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-03 18:56:39,691: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-03 18:56:39,692: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-10-03 18:56:39,692: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:56:39,692: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:56:39,692: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-03 18:56:39,738: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:56:39,740: +PARAM [/roslaunch/uris/host_ubuntu__38964] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:56:39,802: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:56:39,802: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:56:39,802: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:56:39,820: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33232/
[rosmaster.master][INFO] 2017-10-03 18:56:39,828: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33232/
[rosmaster.master][INFO] 2017-10-03 18:56:39,831: +PUB [/rosout_agg] /rosout http://ubuntu:33232/
[rosmaster.master][INFO] 2017-10-03 18:56:39,843: +SUB [/rosout] /rosout http://ubuntu:33232/
[rosmaster.master][INFO] 2017-10-03 18:56:39,927: +PUB [/rosout] /mask_orange http://ubuntu:33290/
[rosmaster.master][INFO] 2017-10-03 18:56:39,930: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33290/
[rosmaster.master][INFO] 2017-10-03 18:56:39,931: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33290/
[rosmaster.master][INFO] 2017-10-03 18:56:39,955: +PUB [/rosout] /camera http://ubuntu:41328/
[rosmaster.master][INFO] 2017-10-03 18:56:39,956: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41328/
[rosmaster.master][INFO] 2017-10-03 18:56:39,956: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41328/
[rosmaster.master][INFO] 2017-10-03 18:56:39,972: +PUB [/rosout] /view http://ubuntu:35968/
[rosmaster.master][INFO] 2017-10-03 18:56:39,973: +SERVICE [/view/get_loggers] /view http://ubuntu:35968/
[rosmaster.master][INFO] 2017-10-03 18:56:39,974: +SERVICE [/view/set_logger_level] /view http://ubuntu:35968/
[rosmaster.master][INFO] 2017-10-03 18:56:39,981: +SUB [/tf] /view http://ubuntu:35968/
[rosmaster.master][INFO] 2017-10-03 18:56:39,991: +SUB [/tf_static] /view http://ubuntu:35968/
[rosmaster.master][INFO] 2017-10-03 18:56:39,999: publisherUpdate[/rosout] -> http://ubuntu:33232/ ['http://ubuntu:33290/']
