[rosmaster.main][INFO] 2017-09-25 17:25:56,798: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:25:56,798: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:25:56,800: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-25 17:25:56,801: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:25:56,801: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:25:56,801: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-25 17:25:56,840: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:25:56,842: +PARAM [/roslaunch/uris/host_ubuntu__39629] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:25:56,921: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:25:56,922: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:25:56,922: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:25:56,937: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:32794/
[rosmaster.master][INFO] 2017-09-25 17:25:56,939: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:32794/
[rosmaster.master][INFO] 2017-09-25 17:25:56,942: +PUB [/rosout_agg] /rosout http://ubuntu:32794/
[rosmaster.master][INFO] 2017-09-25 17:25:56,958: +SUB [/rosout] /rosout http://ubuntu:32794/
[rosmaster.master][INFO] 2017-09-25 17:25:57,042: +PUB [/rosout] /mask_orange http://ubuntu:42527/
[rosmaster.master][INFO] 2017-09-25 17:25:57,043: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42527/
[rosmaster.master][INFO] 2017-09-25 17:25:57,044: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42527/
[rosmaster.master][INFO] 2017-09-25 17:25:57,095: +PUB [/rosout] /camera http://ubuntu:36465/
[rosmaster.master][INFO] 2017-09-25 17:25:57,095: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36465/
[rosmaster.master][INFO] 2017-09-25 17:25:57,098: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36465/
[rosmaster.master][INFO] 2017-09-25 17:25:57,101: publisherUpdate[/rosout] -> http://ubuntu:32794/ ['http://ubuntu:42527/']
[rosmaster.master][INFO] 2017-09-25 17:25:57,102: publisherUpdate[/rosout] -> http://ubuntu:32794/ ['http://ubuntu:42527/']: sec=0.00, result=[1, '', 0]
