[rosmaster.main][INFO] 2017-09-22 16:18:06,901: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 16:18:06,901: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 16:18:06,902: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 16:18:06,902: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 16:18:06,903: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 16:18:06,903: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 16:18:06,944: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:18:06,945: +PARAM [/roslaunch/uris/host_ubuntu__39026] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:18:07,027: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:18:07,027: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:18:07,027: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:18:07,036: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45632/
[rosmaster.master][INFO] 2017-09-22 16:18:07,043: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45632/
[rosmaster.master][INFO] 2017-09-22 16:18:07,044: +PUB [/rosout_agg] /rosout http://ubuntu:45632/
[rosmaster.master][INFO] 2017-09-22 16:18:07,051: +SUB [/rosout] /rosout http://ubuntu:45632/
[rosmaster.master][INFO] 2017-09-22 16:18:07,142: +PUB [/rosout] /image_converter http://ubuntu:44499/
[rosmaster.master][INFO] 2017-09-22 16:18:07,150: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:44499/
[rosmaster.master][INFO] 2017-09-22 16:18:07,151: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:44499/
[rosmaster.master][INFO] 2017-09-22 16:18:07,180: +PUB [/rosout] /camera http://ubuntu:42700/
[rosmaster.master][INFO] 2017-09-22 16:18:07,181: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42700/
[rosmaster.master][INFO] 2017-09-22 16:18:07,182: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42700/
[rosmaster.master][INFO] 2017-09-22 16:18:07,204: publisherUpdate[/rosout] -> http://ubuntu:45632/ ['http://ubuntu:44499/']
[rosmaster.master][INFO] 2017-09-22 16:18:07,205: publisherUpdate[/rosout] -> http://ubuntu:45632/ ['http://ubuntu:44499/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:18:07,205: publisherUpdate[/rosout] -> http://ubuntu:45632/ ['http://ubuntu:44499/', 'http://ubuntu:42700/']
[rosmaster.master][INFO] 2017-09-22 16:18:07,206: publisherUpdate[/rosout] -> http://ubuntu:45632/ ['http://ubuntu:44499/', 'http://ubuntu:42700/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:18:07,219: +PUB [/rosout] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,222: +SERVICE [/view/get_loggers] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,225: +SERVICE [/view/set_logger_level] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,229: +SUB [/tf] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,238: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:42700/
[rosmaster.master][INFO] 2017-09-22 16:18:07,241: +SUB [/tf_static] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,282: +PUB [/image/screenpoint] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,286: +PUB [/image/screenpoint_array] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,287: +PUB [/image/screenrectangle] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,288: +SUB [/camera/image_raw] /image_converter http://ubuntu:44499/
[rosmaster.master][INFO] 2017-09-22 16:18:07,290: +PUB [/image/screenrectangle_image] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,294: +PUB [/image/movepoint] /view http://ubuntu:40136/
[rosmaster.master][INFO] 2017-09-22 16:18:07,295: +PUB [/image/foreground] /view http://ubuntu:40136/
