[rosmaster.main][INFO] 2017-09-26 18:36:35,985: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:36:35,985: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:36:35,986: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:36:35,986: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:36:35,986: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:36:35,986: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:36:36,032: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:36:36,033: +PARAM [/roslaunch/uris/host_ubuntu__46806] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:36:36,110: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:36:36,110: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:36:36,110: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:36:36,123: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34959/
[rosmaster.master][INFO] 2017-09-26 18:36:36,125: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34959/
[rosmaster.master][INFO] 2017-09-26 18:36:36,127: +PUB [/rosout_agg] /rosout http://ubuntu:34959/
[rosmaster.master][INFO] 2017-09-26 18:36:36,157: +SUB [/rosout] /rosout http://ubuntu:34959/
[rosmaster.master][INFO] 2017-09-26 18:36:36,258: +PUB [/rosout] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,259: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,260: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,286: publisherUpdate[/rosout] -> http://ubuntu:34959/ ['http://ubuntu:36579/']
[rosmaster.master][INFO] 2017-09-26 18:36:36,288: publisherUpdate[/rosout] -> http://ubuntu:34959/ ['http://ubuntu:36579/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:36:36,323: +PUB [/rosout] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,324: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,325: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,344: +PUB [/rosout] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,345: +SERVICE [/view/get_loggers] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,347: +SERVICE [/view/set_logger_level] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,362: +SUB [/tf] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,380: +SUB [/tf_static] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,388: publisherUpdate[/rosout] -> http://ubuntu:34959/ ['http://ubuntu:36579/', 'http://ubuntu:38398/']
[rosmaster.master][INFO] 2017-09-26 18:36:36,389: publisherUpdate[/rosout] -> http://ubuntu:34959/ ['http://ubuntu:36579/', 'http://ubuntu:38398/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:36:36,389: publisherUpdate[/rosout] -> http://ubuntu:34959/ ['http://ubuntu:36579/', 'http://ubuntu:38398/', 'http://ubuntu:45766/']
[rosmaster.master][INFO] 2017-09-26 18:36:36,389: publisherUpdate[/rosout] -> http://ubuntu:34959/ ['http://ubuntu:36579/', 'http://ubuntu:38398/', 'http://ubuntu:45766/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:36:36,400: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,445: +PUB [/image/screenpoint] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,447: +PUB [/image/screenpoint_array] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,448: +PUB [/image/screenrectangle] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,448: +PUB [/image/screenrectangle_image] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,449: +PUB [/image/movepoint] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,450: +PUB [/image/foreground] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,450: +PUB [/image/background] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,454: +PUB [/image/foreground_rect] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,455: +PUB [/image/background_rect] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,460: +PUB [/image/line] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,461: +PUB [/image/poly] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,469: +SUB [/camera/image_raw] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,555: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,556: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,557: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,558: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,560: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,563: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,569: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,570: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,572: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,573: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,583: +PUB [/image_marked/compressedDepth] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,584: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,585: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,588: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,601: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:36:36,604: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:36:36,606: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:36:36,608: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:36:36,615: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:36:36,617: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:36:36,694: +PUB [/image/compressed] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,695: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,697: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,698: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:36579/
[rosmaster.master][INFO] 2017-09-26 18:36:36,703: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,704: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,711: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,716: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,716: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,719: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:36:36,735: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,737: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,738: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,739: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:38398/
[rosmaster.master][INFO] 2017-09-26 18:36:36,745: +PUB [/image_marked/compressed] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,746: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-26 18:36:36,756: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,757: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-26 18:36:36,757: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,758: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-26 18:36:36,759: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:45766/
[rosmaster.master][INFO] 2017-09-26 18:36:36,760: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-26 18:36:36,767: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
