[rosmaster.main][INFO] 2017-10-04 18:05:42,749: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 18:05:42,750: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 18:05:42,750: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 18:05:42,750: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 18:05:42,751: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 18:05:42,751: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 18:05:42,807: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:05:42,809: +PARAM [/roslaunch/uris/host_ubuntu__39898] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:05:42,893: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:05:42,893: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:05:42,893: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:05:42,899: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41057/
[rosmaster.master][INFO] 2017-10-04 18:05:42,900: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41057/
[rosmaster.master][INFO] 2017-10-04 18:05:42,913: +PUB [/rosout_agg] /rosout http://ubuntu:41057/
[rosmaster.master][INFO] 2017-10-04 18:05:42,926: +SUB [/rosout] /rosout http://ubuntu:41057/
[rosmaster.master][INFO] 2017-10-04 18:05:42,996: +PUB [/rosout] /mask_orange http://ubuntu:33325/
[rosmaster.master][INFO] 2017-10-04 18:05:43,001: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33325/
[rosmaster.master][INFO] 2017-10-04 18:05:43,003: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33325/
[rosmaster.master][INFO] 2017-10-04 18:05:43,044: +PUB [/rosout] /camera http://ubuntu:37672/
[rosmaster.master][INFO] 2017-10-04 18:05:43,045: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37672/
[rosmaster.master][INFO] 2017-10-04 18:05:43,046: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37672/
[rosmaster.master][INFO] 2017-10-04 18:05:43,051: publisherUpdate[/rosout] -> http://ubuntu:41057/ ['http://ubuntu:33325/']
[rosmaster.master][INFO] 2017-10-04 18:05:43,052: publisherUpdate[/rosout] -> http://ubuntu:41057/ ['http://ubuntu:33325/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:05:43,053: publisherUpdate[/rosout] -> http://ubuntu:41057/ ['http://ubuntu:33325/', 'http://ubuntu:37672/']
[rosmaster.master][INFO] 2017-10-04 18:05:43,056: publisherUpdate[/rosout] -> http://ubuntu:41057/ ['http://ubuntu:33325/', 'http://ubuntu:37672/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:05:43,069: +PUB [/rosout] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,069: +SERVICE [/view/get_loggers] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,070: +SERVICE [/view/set_logger_level] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,080: +SUB [/tf] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,089: +SUB [/tf_static] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,124: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37672/
[rosmaster.master][INFO] 2017-10-04 18:05:43,140: +PUB [/image/screenpoint] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,141: +PUB [/image/screenpoint_array] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,142: +PUB [/image/screenrectangle] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,143: +PUB [/image/screenrectangle_image] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,143: +PUB [/image/movepoint] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,144: +PUB [/image/foreground] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,144: +PUB [/image/background] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,145: +PUB [/image/foreground_rect] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,146: +PUB [/image/background_rect] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,147: +PUB [/image/line] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,148: +PUB [/image/poly] /view http://ubuntu:34284/
[rosmaster.master][INFO] 2017-10-04 18:05:43,152: +SUB [/camera/image_raw] /mask_orange http://ubuntu:33325/
