[rosmaster.main][INFO] 2017-09-30 12:27:02,130: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-30 12:27:02,130: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-30 12:27:02,131: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-30 12:27:02,131: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-30 12:27:02,131: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-30 12:27:02,131: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-30 12:27:02,181: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:27:02,183: +PARAM [/roslaunch/uris/host_ubuntu__33598] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:27:02,266: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:27:02,266: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:27:02,266: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 12:27:02,305: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-30 12:27:02,307: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-30 12:27:02,316: +PUB [/rosout_agg] /rosout http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-30 12:27:02,356: +SUB [/rosout] /rosout http://ubuntu:37472/
[rosmaster.master][INFO] 2017-09-30 12:27:02,479: +PUB [/rosout] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,486: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,489: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,532: publisherUpdate[/rosout] -> http://ubuntu:37472/ ['http://ubuntu:38742/']
[rosmaster.master][INFO] 2017-09-30 12:27:02,534: publisherUpdate[/rosout] -> http://ubuntu:37472/ ['http://ubuntu:38742/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 12:27:02,573: +PUB [/rosout] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,577: +SERVICE [/view/get_loggers] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,578: +SERVICE [/view/set_logger_level] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,586: +SUB [/tf] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,599: +PUB [/rosout] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:02,601: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:02,606: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:02,611: +SUB [/tf_static] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,634: publisherUpdate[/rosout] -> http://ubuntu:37472/ ['http://ubuntu:38742/', 'http://ubuntu:46749/']
[rosmaster.master][INFO] 2017-09-30 12:27:02,634: publisherUpdate[/rosout] -> http://ubuntu:37472/ ['http://ubuntu:38742/', 'http://ubuntu:46749/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 12:27:02,634: publisherUpdate[/rosout] -> http://ubuntu:37472/ ['http://ubuntu:38742/', 'http://ubuntu:46749/', 'http://ubuntu:43887/']
[rosmaster.master][INFO] 2017-09-30 12:27:02,635: publisherUpdate[/rosout] -> http://ubuntu:37472/ ['http://ubuntu:38742/', 'http://ubuntu:46749/', 'http://ubuntu:43887/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 12:27:02,689: +SUB [/camera/image_raw] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,697: +PUB [/image/screenpoint] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,698: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:02,699: +PUB [/image/screenpoint_array] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,701: +PUB [/image/screenrectangle] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,702: +PUB [/image/screenrectangle_image] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,703: +PUB [/image/movepoint] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,704: +PUB [/image/foreground] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,707: +PUB [/image/background] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,709: +PUB [/image/foreground_rect] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,711: +PUB [/image/background_rect] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,714: +PUB [/image/line] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,721: +PUB [/image/poly] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,785: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,785: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,786: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,787: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,794: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,797: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,797: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,798: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,803: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,803: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,827: +PUB [/image_marked/compressedDepth] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,828: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,828: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,829: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,831: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,834: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,837: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,841: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,844: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,845: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,891: +PUB [/image/compressed] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,892: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,893: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,894: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:02,901: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,905: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,906: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,906: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,907: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,910: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:02,947: +PUB [/image_marked/compressed] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,948: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,949: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,951: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:02,957: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,961: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,966: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,968: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,977: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:02,979: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:03,032: +PUB [/image] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,045: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,049: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,051: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,052: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,058: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,061: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,063: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,067: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,073: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,075: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,109: +PUB [/image_marked] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:03,165: +PUB [/image/theora] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,166: +SERVICE [/image/theora/set_parameters] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,168: +PUB [/image/theora/parameter_descriptions] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,169: +PUB [/image/theora/parameter_updates] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,183: +PUB [/camera/image_raw/compressed] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,186: +PARAM [/image/theora/optimize_for] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,189: +SERVICE [/camera/image_raw/compressed/set_parameters] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,192: +PARAM [/image/theora/target_bitrate] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,196: +PUB [/camera/image_raw/compressed/parameter_descriptions] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,202: +PARAM [/image/theora/quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,205: +PUB [/camera/image_raw/compressed/parameter_updates] /camera http://ubuntu:43887/
[rosmaster.master][INFO] 2017-09-30 12:27:03,207: +PARAM [/image/theora/keyframe_frequency] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,213: +PARAM [/image/theora/optimize_for] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,217: +PARAM [/image/theora/target_bitrate] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,221: +PUB [/image_marked/theora] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:03,223: +PARAM [/image/theora/quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,224: +PARAM [/camera/image_raw/compressed/format] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,225: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:03,227: +PARAM [/image/theora/keyframe_frequency] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 12:27:03,228: +PARAM [/camera/image_raw/compressed/jpeg_quality] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,230: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:03,231: +SERVICE [/mask_orange/set_parameters] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,233: +PARAM [/camera/image_raw/compressed/png_level] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,234: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:46749/
[rosmaster.master][INFO] 2017-09-30 12:27:03,235: +PUB [/mask_orange/parameter_descriptions] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,237: +PARAM [/camera/image_raw/compressed/format] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,239: +PUB [/mask_orange/parameter_updates] /mask_orange http://ubuntu:38742/
[rosmaster.master][INFO] 2017-09-30 12:27:03,241: +PARAM [/camera/image_raw/compressed/jpeg_quality] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,247: +PARAM [/camera/image_raw/compressed/png_level] by /camera
[rosmaster.master][INFO] 2017-09-30 12:27:03,263: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:03,269: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-30 12:27:03,273: +PARAM [/image_marked/theora/quality] by /view
