[rosmaster.main][INFO] 2017-09-20 18:51:09,132: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:51:09,133: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:51:09,133: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:51:09,134: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:51:09,134: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:51:09,134: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:51:09,199: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:51:09,202: +PARAM [/roslaunch/uris/host_ubuntu__41424] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:51:09,278: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:51:09,278: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:51:09,278: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:51:09,321: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39661/
[rosmaster.master][INFO] 2017-09-20 18:51:09,323: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39661/
[rosmaster.master][INFO] 2017-09-20 18:51:09,328: +PUB [/rosout_agg] /rosout http://ubuntu:39661/
[rosmaster.master][INFO] 2017-09-20 18:51:09,361: +SUB [/rosout] /rosout http://ubuntu:39661/
[rosmaster.master][INFO] 2017-09-20 18:51:09,453: +PUB [/rosout] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,454: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,457: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,535: +PUB [/rosout] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,535: publisherUpdate[/rosout] -> http://ubuntu:39661/ ['http://ubuntu:33583/']
[rosmaster.master][INFO] 2017-09-20 18:51:09,537: publisherUpdate[/rosout] -> http://ubuntu:39661/ ['http://ubuntu:33583/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:51:09,537: publisherUpdate[/rosout] -> http://ubuntu:39661/ ['http://ubuntu:33583/', 'http://ubuntu:45855/']
[rosmaster.master][INFO] 2017-09-20 18:51:09,537: publisherUpdate[/rosout] -> http://ubuntu:39661/ ['http://ubuntu:33583/', 'http://ubuntu:45855/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:51:09,540: +SERVICE [/view/get_loggers] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,545: +PUB [/rosout] /camera http://ubuntu:44663/
[rosmaster.master][INFO] 2017-09-20 18:51:09,545: +SERVICE [/view/set_logger_level] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,546: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44663/
[rosmaster.master][INFO] 2017-09-20 18:51:09,548: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44663/
[rosmaster.master][INFO] 2017-09-20 18:51:09,565: +SUB [/tf] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,573: +SUB [/tf_static] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,600: +SUB [/camera/image_raw] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,624: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44663/
[rosmaster.master][INFO] 2017-09-20 18:51:09,633: +PUB [/image/screenpoint] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,633: +PUB [/image/screenpoint_array] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,634: +PUB [/image/screenrectangle] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,635: +PUB [/image/screenrectangle_image] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,636: +PUB [/image/movepoint] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,636: publisherUpdate[/rosout] -> http://ubuntu:39661/ ['http://ubuntu:33583/', 'http://ubuntu:45855/', 'http://ubuntu:44663/']
[rosmaster.master][INFO] 2017-09-20 18:51:09,637: publisherUpdate[/rosout] -> http://ubuntu:39661/ ['http://ubuntu:33583/', 'http://ubuntu:45855/', 'http://ubuntu:44663/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:51:09,638: +PUB [/image/foreground] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,638: +PUB [/image/background] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,639: +PUB [/image/foreground_rect] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,640: +PUB [/image/background_rect] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,645: +PUB [/image/line] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,646: +PUB [/image/poly] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,675: +PUB [/image/compressedDepth] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,676: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,676: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,677: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,681: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,682: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,685: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,686: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,687: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,688: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,714: +PUB [/image_marked/compressedDepth] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,714: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,715: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,716: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,719: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:51:09,721: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:51:09,725: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:51:09,726: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:51:09,727: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:51:09,727: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:51:09,754: +PUB [/image/compressed] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,755: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,756: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,756: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:33583/
[rosmaster.master][INFO] 2017-09-20 18:51:09,762: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,763: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,764: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,764: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,768: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,769: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:51:09,787: +PUB [/image_marked/compressed] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,788: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:45855/
[rosmaster.master][INFO] 2017-09-20 18:51:09,788: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:45855/
