[rosmaster.main][INFO] 2017-09-26 17:11:02,607: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 17:11:02,607: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 17:11:02,608: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 17:11:02,608: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 17:11:02,608: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 17:11:02,608: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 17:11:02,649: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:11:02,650: +PARAM [/roslaunch/uris/host_ubuntu__43389] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:11:02,719: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:11:02,719: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:11:02,719: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:11:02,736: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46507/
[rosmaster.master][INFO] 2017-09-26 17:11:02,743: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46507/
[rosmaster.master][INFO] 2017-09-26 17:11:02,755: +PUB [/rosout_agg] /rosout http://ubuntu:46507/
[rosmaster.master][INFO] 2017-09-26 17:11:02,780: +SUB [/rosout] /rosout http://ubuntu:46507/
[rosmaster.master][INFO] 2017-09-26 17:11:02,854: +PUB [/rosout] /mask_orange http://ubuntu:43453/
[rosmaster.master][INFO] 2017-09-26 17:11:02,855: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:43453/
[rosmaster.master][INFO] 2017-09-26 17:11:02,856: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:43453/
[rosmaster.master][INFO] 2017-09-26 17:11:02,908: +PUB [/rosout] /view http://ubuntu:41315/
[rosmaster.master][INFO] 2017-09-26 17:11:02,910: +SERVICE [/view/get_loggers] /view http://ubuntu:41315/
[rosmaster.master][INFO] 2017-09-26 17:11:02,910: publisherUpdate[/rosout] -> http://ubuntu:46507/ ['http://ubuntu:43453/']
[rosmaster.master][INFO] 2017-09-26 17:11:02,911: publisherUpdate[/rosout] -> http://ubuntu:46507/ ['http://ubuntu:43453/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:11:02,911: publisherUpdate[/rosout] -> http://ubuntu:46507/ ['http://ubuntu:43453/', 'http://ubuntu:41315/']
[rosmaster.master][INFO] 2017-09-26 17:11:02,912: publisherUpdate[/rosout] -> http://ubuntu:46507/ ['http://ubuntu:43453/', 'http://ubuntu:41315/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:11:02,913: +SERVICE [/view/set_logger_level] /view http://ubuntu:41315/
