[rosmaster.main][INFO] 2017-09-21 19:11:31,509: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:11:31,509: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:11:31,509: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 19:11:31,510: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:11:31,510: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:11:31,510: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 19:11:31,566: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:11:31,568: +PARAM [/roslaunch/uris/host_ubuntu__45660] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:11:31,641: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:11:31,641: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:11:31,641: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:11:31,666: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37858/
[rosmaster.master][INFO] 2017-09-21 19:11:31,667: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37858/
[rosmaster.master][INFO] 2017-09-21 19:11:31,670: +PUB [/rosout_agg] /rosout http://ubuntu:37858/
[rosmaster.master][INFO] 2017-09-21 19:11:31,678: +SUB [/rosout] /rosout http://ubuntu:37858/
[rosmaster.master][INFO] 2017-09-21 19:11:31,756: +PUB [/rosout] /image_converter http://ubuntu:36173/
[rosmaster.master][INFO] 2017-09-21 19:11:31,757: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36173/
[rosmaster.master][INFO] 2017-09-21 19:11:31,757: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36173/
[rosmaster.master][INFO] 2017-09-21 19:11:31,802: +PUB [/rosout] /camera http://ubuntu:40576/
[rosmaster.master][INFO] 2017-09-21 19:11:31,803: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40576/
[rosmaster.master][INFO] 2017-09-21 19:11:31,804: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40576/
[rosmaster.master][INFO] 2017-09-21 19:11:31,811: publisherUpdate[/rosout] -> http://ubuntu:37858/ ['http://ubuntu:36173/']
[rosmaster.master][INFO] 2017-09-21 19:11:31,814: publisherUpdate[/rosout] -> http://ubuntu:37858/ ['http://ubuntu:36173/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:11:31,814: publisherUpdate[/rosout] -> http://ubuntu:37858/ ['http://ubuntu:36173/', 'http://ubuntu:40576/']
