[rosmaster.main][INFO] 2017-09-13 16:36:23,008: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:36:23,008: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:36:23,011: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:36:23,012: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:36:23,012: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:36:23,012: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:36:23,027: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:23,028: +PARAM [/roslaunch/uris/host_ubuntu__33498] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:23,113: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:23,113: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:23,185: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42257/
[rosmaster.master][INFO] 2017-09-13 16:36:23,186: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42257/
[rosmaster.master][INFO] 2017-09-13 16:36:23,195: +PUB [/rosout_agg] /rosout http://ubuntu:42257/
[rosmaster.master][INFO] 2017-09-13 16:36:23,222: +SUB [/rosout] /rosout http://ubuntu:42257/
[rosmaster.master][INFO] 2017-09-13 16:36:23,511: +PUB [/rosout] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,512: +SERVICE [/view/get_loggers] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,512: +SERVICE [/view/set_logger_level] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,514: publisherUpdate[/rosout] -> http://ubuntu:42257/ ['http://ubuntu:40301/']
[rosmaster.master][INFO] 2017-09-13 16:36:23,516: publisherUpdate[/rosout] -> http://ubuntu:42257/ ['http://ubuntu:40301/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:36:23,525: +PUB [/rosout] /camera http://ubuntu:42081/
[rosmaster.master][INFO] 2017-09-13 16:36:23,527: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42081/
[rosmaster.master][INFO] 2017-09-13 16:36:23,528: +SUB [/tf] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,529: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42081/
[rosmaster.master][INFO] 2017-09-13 16:36:23,538: +SUB [/tf_static] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,611: publisherUpdate[/rosout] -> http://ubuntu:42257/ ['http://ubuntu:40301/', 'http://ubuntu:42081/']
[rosmaster.master][INFO] 2017-09-13 16:36:23,612: publisherUpdate[/rosout] -> http://ubuntu:42257/ ['http://ubuntu:40301/', 'http://ubuntu:42081/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:36:23,746: +PUB [/image/screenpoint] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,747: +PUB [/image/screenpoint_array] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,748: +PUB [/image/screenrectangle] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,748: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:42081/
[rosmaster.master][INFO] 2017-09-13 16:36:23,749: +PUB [/image/screenrectangle_image] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,750: +PUB [/image/movepoint] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,751: +PUB [/image/foreground] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,752: +PUB [/image/background] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,753: +PUB [/image/foreground_rect] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,754: +PUB [/image/background_rect] /view http://ubuntu:40301/
[rosmaster.master][INFO] 2017-09-13 16:36:23,754: +PUB [/image/line] /view http://ubuntu:40301/
