[rosmaster.main][INFO] 2017-09-27 18:07:12,023: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-27 18:07:12,023: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-27 18:07:12,024: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-27 18:07:12,024: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-27 18:07:12,024: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-27 18:07:12,024: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-27 18:07:12,086: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 18:07:12,088: +PARAM [/roslaunch/uris/host_ubuntu__41343] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 18:07:12,155: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 18:07:12,155: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 18:07:12,155: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 18:07:12,167: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44429/
[rosmaster.master][INFO] 2017-09-27 18:07:12,170: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44429/
[rosmaster.master][INFO] 2017-09-27 18:07:12,184: +PUB [/rosout_agg] /rosout http://ubuntu:44429/
[rosmaster.master][INFO] 2017-09-27 18:07:12,204: +SUB [/rosout] /rosout http://ubuntu:44429/
[rosmaster.master][INFO] 2017-09-27 18:07:12,317: +PUB [/rosout] /mask http://ubuntu:38472/
[rosmaster.master][INFO] 2017-09-27 18:07:12,318: +SERVICE [/mask/get_loggers] /mask http://ubuntu:38472/
[rosmaster.master][INFO] 2017-09-27 18:07:12,318: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:38472/
[rosmaster.master][INFO] 2017-09-27 18:07:12,325: publisherUpdate[/rosout] -> http://ubuntu:44429/ ['http://ubuntu:38472/']
[rosmaster.master][INFO] 2017-09-27 18:07:12,328: publisherUpdate[/rosout] -> http://ubuntu:44429/ ['http://ubuntu:38472/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 18:07:12,351: +PUB [/rosout] /view http://ubuntu:36029/
[rosmaster.master][INFO] 2017-09-27 18:07:12,353: +SERVICE [/view/get_loggers] /view http://ubuntu:36029/
[rosmaster.master][INFO] 2017-09-27 18:07:12,354: +SERVICE [/view/set_logger_level] /view http://ubuntu:36029/
[rosmaster.master][INFO] 2017-09-27 18:07:12,364: +PUB [/rosout] /camera http://ubuntu:37187/
[rosmaster.master][INFO] 2017-09-27 18:07:12,367: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37187/
[rosmaster.master][INFO] 2017-09-27 18:07:12,371: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37187/
[rosmaster.master][INFO] 2017-09-27 18:07:12,373: +SUB [/tf] /view http://ubuntu:36029/
[rosmaster.master][INFO] 2017-09-27 18:07:12,393: +SUB [/tf_static] /view http://ubuntu:36029/
[rosmaster.master][INFO] 2017-09-27 18:07:12,428: publisherUpdate[/rosout] -> http://ubuntu:44429/ ['http://ubuntu:38472/', 'http://ubuntu:36029/']
