[rosmaster.main][INFO] 2017-09-26 17:46:59,092: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 17:46:59,092: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 17:46:59,093: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 17:46:59,093: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 17:46:59,093: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 17:46:59,093: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 17:46:59,147: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:46:59,150: +PARAM [/roslaunch/uris/host_ubuntu__44569] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:46:59,232: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:46:59,232: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:46:59,232: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:46:59,252: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45359/
[rosmaster.master][INFO] 2017-09-26 17:46:59,254: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45359/
[rosmaster.master][INFO] 2017-09-26 17:46:59,267: +PUB [/rosout_agg] /rosout http://ubuntu:45359/
[rosmaster.master][INFO] 2017-09-26 17:46:59,295: +SUB [/rosout] /rosout http://ubuntu:45359/
[rosmaster.master][INFO] 2017-09-26 17:46:59,389: +PUB [/rosout] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,393: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,394: publisherUpdate[/rosout] -> http://ubuntu:45359/ ['http://ubuntu:43267/']
[rosmaster.master][INFO] 2017-09-26 17:46:59,400: publisherUpdate[/rosout] -> http://ubuntu:45359/ ['http://ubuntu:43267/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:46:59,401: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,509: +PUB [/rosout] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,511: +SERVICE [/view/get_loggers] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,515: +SERVICE [/view/set_logger_level] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,524: +SUB [/tf] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,532: +PUB [/rosout] /camera http://ubuntu:36399/
[rosmaster.master][INFO] 2017-09-26 17:46:59,536: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36399/
[rosmaster.master][INFO] 2017-09-26 17:46:59,540: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36399/
[rosmaster.master][INFO] 2017-09-26 17:46:59,545: +SUB [/tf_static] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,595: publisherUpdate[/rosout] -> http://ubuntu:45359/ ['http://ubuntu:43267/', 'http://ubuntu:45691/']
[rosmaster.master][INFO] 2017-09-26 17:46:59,596: publisherUpdate[/rosout] -> http://ubuntu:45359/ ['http://ubuntu:43267/', 'http://ubuntu:45691/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:46:59,596: publisherUpdate[/rosout] -> http://ubuntu:45359/ ['http://ubuntu:43267/', 'http://ubuntu:45691/', 'http://ubuntu:36399/']
[rosmaster.master][INFO] 2017-09-26 17:46:59,597: publisherUpdate[/rosout] -> http://ubuntu:45359/ ['http://ubuntu:43267/', 'http://ubuntu:45691/', 'http://ubuntu:36399/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:46:59,604: +SUB [/camera/image_raw] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,632: +PUB [/image/screenpoint] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,633: +PUB [/image/screenpoint_array] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,633: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:36399/
[rosmaster.master][INFO] 2017-09-26 17:46:59,634: +PUB [/image/screenrectangle] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,639: +PUB [/image/screenrectangle_image] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,640: +PUB [/image/movepoint] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,642: +PUB [/image/foreground] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,643: +PUB [/image/background] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,646: +PUB [/image/foreground_rect] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,647: +PUB [/image/background_rect] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,648: +PUB [/image/line] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,654: +PUB [/image/poly] /view http://ubuntu:45691/
[rosmaster.master][INFO] 2017-09-26 17:46:59,704: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,705: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,706: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,706: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:43267/
[rosmaster.master][INFO] 2017-09-26 17:46:59,711: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 17:46:59,712: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 17:46:59,715: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 17:46:59,717: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 17:46:59,719: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
