[rosmaster.main][INFO] 2017-09-21 16:48:33,185: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 16:48:33,185: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 16:48:33,186: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 16:48:33,186: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 16:48:33,186: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 16:48:33,186: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 16:48:33,229: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:33,232: +PARAM [/roslaunch/uris/host_ubuntu__41018] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:33,307: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:33,307: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:33,307: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:33,327: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35740/
[rosmaster.master][INFO] 2017-09-21 16:48:33,328: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35740/
[rosmaster.master][INFO] 2017-09-21 16:48:33,336: +PUB [/rosout_agg] /rosout http://ubuntu:35740/
[rosmaster.master][INFO] 2017-09-21 16:48:33,351: +SUB [/rosout] /rosout http://ubuntu:35740/
[rosmaster.master][INFO] 2017-09-21 16:48:33,457: +PUB [/rosout] /image_converter http://ubuntu:46020/
[rosmaster.master][INFO] 2017-09-21 16:48:33,459: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:46020/
[rosmaster.master][INFO] 2017-09-21 16:48:33,460: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:46020/
[rosmaster.master][INFO] 2017-09-21 16:48:33,487: publisherUpdate[/rosout] -> http://ubuntu:35740/ ['http://ubuntu:46020/']
[rosmaster.master][INFO] 2017-09-21 16:48:33,489: publisherUpdate[/rosout] -> http://ubuntu:35740/ ['http://ubuntu:46020/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:48:33,544: +PUB [/rosout] /camera http://ubuntu:35690/
[rosmaster.master][INFO] 2017-09-21 16:48:33,546: +PUB [/rosout] /view http://ubuntu:34341/
[rosmaster.master][INFO] 2017-09-21 16:48:33,547: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35690/
[rosmaster.master][INFO] 2017-09-21 16:48:33,548: +SERVICE [/view/get_loggers] /view http://ubuntu:34341/
[rosmaster.master][INFO] 2017-09-21 16:48:33,550: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35690/
[rosmaster.master][INFO] 2017-09-21 16:48:33,551: +SERVICE [/view/set_logger_level] /view http://ubuntu:34341/
