[rosmaster.main][INFO] 2017-10-03 18:50:20,917: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-03 18:50:20,917: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-03 18:50:20,918: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-03 18:50:20,918: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:50:20,918: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-03 18:50:20,919: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-03 18:50:20,968: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:50:20,969: +PARAM [/roslaunch/uris/host_ubuntu__34354] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:50:21,051: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:50:21,052: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:50:21,052: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:50:21,080: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38461/
[rosmaster.master][INFO] 2017-10-03 18:50:21,083: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38461/
[rosmaster.master][INFO] 2017-10-03 18:50:21,085: +PUB [/rosout_agg] /rosout http://ubuntu:38461/
[rosmaster.master][INFO] 2017-10-03 18:50:21,126: +SUB [/rosout] /rosout http://ubuntu:38461/
[rosmaster.master][INFO] 2017-10-03 18:50:21,283: +PUB [/rosout] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,284: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,285: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,326: publisherUpdate[/rosout] -> http://ubuntu:38461/ ['http://ubuntu:42095/']
[rosmaster.master][INFO] 2017-10-03 18:50:21,328: publisherUpdate[/rosout] -> http://ubuntu:38461/ ['http://ubuntu:42095/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:50:21,341: +PUB [/rosout] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,342: +SERVICE [/view/get_loggers] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,343: +SERVICE [/view/set_logger_level] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,352: +SUB [/tf] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,371: +SUB [/tf_static] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,397: +PUB [/rosout] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,397: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,398: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,427: publisherUpdate[/rosout] -> http://ubuntu:38461/ ['http://ubuntu:42095/', 'http://ubuntu:35537/']
[rosmaster.master][INFO] 2017-10-03 18:50:21,428: publisherUpdate[/rosout] -> http://ubuntu:38461/ ['http://ubuntu:42095/', 'http://ubuntu:35537/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:50:21,428: publisherUpdate[/rosout] -> http://ubuntu:38461/ ['http://ubuntu:42095/', 'http://ubuntu:35537/', 'http://ubuntu:43848/']
[rosmaster.master][INFO] 2017-10-03 18:50:21,429: publisherUpdate[/rosout] -> http://ubuntu:38461/ ['http://ubuntu:42095/', 'http://ubuntu:35537/', 'http://ubuntu:43848/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:50:21,459: +PUB [/image/screenpoint] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,460: +PUB [/image/screenpoint_array] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,460: +PUB [/image/screenrectangle] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,461: +PUB [/image/screenrectangle_image] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,462: +PUB [/image/movepoint] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,462: +PUB [/image/foreground] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,463: +PUB [/image/background] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,464: +PUB [/image/foreground_rect] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,467: +PUB [/image/background_rect] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,471: +PUB [/image/line] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,472: +PUB [/image/poly] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,490: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,516: +SUB [/camera/image_raw] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,594: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,595: +PUB [/image_marked/compressedDepth] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,596: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,597: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,597: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,600: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,603: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,604: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,612: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,613: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,614: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,614: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,616: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,619: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,619: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,620: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,624: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,625: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,625: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,629: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,719: +PUB [/image/compressed] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,723: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,724: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,724: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,727: +PUB [/image_marked/compressed] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,730: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,735: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,737: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,739: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,740: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,743: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,747: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,751: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,756: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:21,763: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,771: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,775: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,776: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,776: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,777: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:21,820: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,823: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,825: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,826: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,828: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,831: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,833: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,838: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,846: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,855: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,879: +PUB [/image] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:21,907: +PUB [/image_marked] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:21,963: +PUB [/camera/image_raw/compressed] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,964: +SERVICE [/camera/image_raw/compressed/set_parameters] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,967: +PUB [/camera/image_raw/compressed/parameter_descriptions] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,968: +PUB [/camera/image_raw/compressed/parameter_updates] /camera http://ubuntu:43848/
[rosmaster.master][INFO] 2017-10-03 18:50:21,972: +PARAM [/camera/image_raw/compressed/format] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,973: +PARAM [/camera/image_raw/compressed/jpeg_quality] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,975: +PARAM [/camera/image_raw/compressed/png_level] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,980: +PARAM [/camera/image_raw/compressed/format] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,985: +PARAM [/camera/image_raw/compressed/jpeg_quality] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:21,986: +PARAM [/camera/image_raw/compressed/png_level] by /camera
[rosmaster.master][INFO] 2017-10-03 18:50:22,004: +PUB [/image/theora] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,005: +SERVICE [/image/theora/set_parameters] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,006: +PUB [/image/theora/parameter_descriptions] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,007: +PUB [/image/theora/parameter_updates] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,022: +PARAM [/image/theora/optimize_for] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,022: +PARAM [/image/theora/target_bitrate] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,023: +PARAM [/image/theora/quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,026: +PARAM [/image/theora/keyframe_frequency] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,032: +PARAM [/image/theora/optimize_for] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,036: +PARAM [/image/theora/target_bitrate] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,037: +PUB [/image_marked/theora] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:22,037: +PARAM [/image/theora/quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,039: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:22,041: +PARAM [/image/theora/keyframe_frequency] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:50:22,046: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:22,047: +SERVICE [/mask_orange/set_parameters] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,047: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:35537/
[rosmaster.master][INFO] 2017-10-03 18:50:22,055: +PUB [/mask_orange/parameter_descriptions] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,056: +PUB [/mask_orange/parameter_updates] /mask_orange http://ubuntu:42095/
[rosmaster.master][INFO] 2017-10-03 18:50:22,067: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-10-03 18:50:22,069: +PARAM [/image_marked/theora/target_bitrate] by /view
