[rosmaster.main][INFO] 2017-09-20 18:22:49,486: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:22:49,486: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:22:49,492: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:22:49,492: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:22:49,492: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:22:49,492: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:22:49,587: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:22:49,588: +PARAM [/roslaunch/uris/host_ubuntu__44529] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:22:49,660: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:22:49,660: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:22:49,660: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:22:49,837: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34769/
[rosmaster.master][INFO] 2017-09-20 18:22:49,849: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34769/
[rosmaster.master][INFO] 2017-09-20 18:22:49,854: +PUB [/rosout_agg] /rosout http://ubuntu:34769/
[rosmaster.master][INFO] 2017-09-20 18:22:49,882: +SUB [/rosout] /rosout http://ubuntu:34769/
[rosmaster.master][INFO] 2017-09-20 18:22:49,917: +PUB [/rosout] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:49,918: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:49,920: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,004: publisherUpdate[/rosout] -> http://ubuntu:34769/ ['http://ubuntu:36097/']
[rosmaster.master][INFO] 2017-09-20 18:22:50,006: publisherUpdate[/rosout] -> http://ubuntu:34769/ ['http://ubuntu:36097/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:22:50,033: +PUB [/rosout] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,035: +SERVICE [/view/get_loggers] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,037: +SERVICE [/view/set_logger_level] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,056: +SUB [/tf] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,075: +SUB [/tf_static] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,098: +PUB [/rosout] /camera http://ubuntu:40364/
[rosmaster.master][INFO] 2017-09-20 18:22:50,101: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40364/
[rosmaster.master][INFO] 2017-09-20 18:22:50,106: publisherUpdate[/rosout] -> http://ubuntu:34769/ ['http://ubuntu:36097/', 'http://ubuntu:33818/']
[rosmaster.master][INFO] 2017-09-20 18:22:50,107: publisherUpdate[/rosout] -> http://ubuntu:34769/ ['http://ubuntu:36097/', 'http://ubuntu:33818/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:22:50,107: publisherUpdate[/rosout] -> http://ubuntu:34769/ ['http://ubuntu:36097/', 'http://ubuntu:33818/', 'http://ubuntu:40364/']
[rosmaster.master][INFO] 2017-09-20 18:22:50,107: publisherUpdate[/rosout] -> http://ubuntu:34769/ ['http://ubuntu:36097/', 'http://ubuntu:33818/', 'http://ubuntu:40364/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:22:50,108: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40364/
[rosmaster.master][INFO] 2017-09-20 18:22:50,179: +PUB [/image/screenpoint] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,183: +PUB [/image/screenpoint_array] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,187: +PUB [/image/screenrectangle] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,188: +PUB [/image/screenrectangle_image] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,191: +PUB [/image/movepoint] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,198: +PUB [/image/foreground] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,202: +PUB [/image/background] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,206: +PUB [/image/foreground_rect] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,214: +PUB [/image/background_rect] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,217: +PUB [/image/line] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,222: +PUB [/image/poly] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,222: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40364/
[rosmaster.master][INFO] 2017-09-20 18:22:50,258: +SUB [/camera/image_raw] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,324: +PUB [/image_marked/compressedDepth] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,325: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,325: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,326: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,328: +PUB [/image/compressedDepth] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,329: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,330: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:22:50,331: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,332: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:22:50,332: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,333: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:22:50,334: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:22:50,336: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:22:50,337: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:22:50,344: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:22:50,345: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:22:50,346: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:22:50,347: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:22:50,348: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:22:50,348: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:22:50,399: +PUB [/image_marked/compressed] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,400: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,401: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,402: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:33818/
[rosmaster.master][INFO] 2017-09-20 18:22:50,404: +PUB [/image/compressed] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,405: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:36097/
[rosmaster.master][INFO] 2017-09-20 18:22:50,407: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:36097/
