[rosmaster.main][INFO] 2017-09-13 16:36:38,649: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:36:38,649: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:36:38,649: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:36:38,650: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:36:38,650: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:36:38,650: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:36:38,667: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:38,668: +PARAM [/roslaunch/uris/host_ubuntu__36664] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:38,754: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:38,754: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:36:38,876: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36446/
[rosmaster.master][INFO] 2017-09-13 16:36:38,877: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36446/
[rosmaster.master][INFO] 2017-09-13 16:36:38,881: +PUB [/rosout_agg] /rosout http://ubuntu:36446/
[rosmaster.master][INFO] 2017-09-13 16:36:38,891: +SUB [/rosout] /rosout http://ubuntu:36446/
[rosmaster.master][INFO] 2017-09-13 16:36:39,077: +PUB [/rosout] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,078: +SERVICE [/view/get_loggers] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,078: +SERVICE [/view/set_logger_level] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,083: +SUB [/tf] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,086: +SUB [/tf_static] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,125: +PUB [/image/screenpoint] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,126: +PUB [/image/screenpoint_array] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,126: +PUB [/image/screenrectangle] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,127: +PUB [/image/screenrectangle_image] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,128: +PUB [/image/movepoint] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,128: +PUB [/image/foreground] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,129: +PUB [/image/background] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,130: +PUB [/image/foreground_rect] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,130: +PUB [/image/background_rect] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,131: +PUB [/image/line] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,132: +PUB [/image/poly] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,152: publisherUpdate[/rosout] -> http://ubuntu:36446/ ['http://ubuntu:41424/']
[rosmaster.master][INFO] 2017-09-13 16:36:39,154: publisherUpdate[/rosout] -> http://ubuntu:36446/ ['http://ubuntu:41424/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:36:39,233: +PUB [/image_marked/compressedDepth] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,233: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,234: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,238: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,240: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,241: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,242: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,242: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,243: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,244: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,281: +PUB [/image_marked/compressed] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,282: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,283: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,284: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,287: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,288: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,289: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,289: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,290: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,291: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,322: +PUB [/image_marked] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,354: +PUB [/image_marked/theora] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,356: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,357: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,358: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,360: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,361: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,362: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,362: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,363: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,364: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,364: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,365: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,393: +PUB [/image/marked/compressedDepth] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,394: +SERVICE [/image/marked/compressedDepth/set_parameters] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,395: +PUB [/image/marked/compressedDepth/parameter_descriptions] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,396: +PUB [/image/marked/compressedDepth/parameter_updates] /view http://ubuntu:41424/
[rosmaster.master][INFO] 2017-09-13 16:36:39,398: +PARAM [/image/marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:36:39,398: +PARAM [/image/marked/compressedDepth/depth_quantization] by /view
