[rosmaster.main][INFO] 2017-10-05 17:00:39,437: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 17:00:39,438: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 17:00:39,439: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 17:00:39,439: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 17:00:39,439: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 17:00:39,439: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 17:00:39,475: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:00:39,476: +PARAM [/roslaunch/uris/host_ubuntu__35573] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:00:39,551: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:00:39,551: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:00:39,551: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:00:39,599: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38762/
[rosmaster.master][INFO] 2017-10-05 17:00:39,600: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38762/
[rosmaster.master][INFO] 2017-10-05 17:00:39,609: +PUB [/rosout_agg] /rosout http://ubuntu:38762/
[rosmaster.master][INFO] 2017-10-05 17:00:39,633: +SUB [/rosout] /rosout http://ubuntu:38762/
[rosmaster.master][INFO] 2017-10-05 17:00:39,749: +PUB [/rosout] /mask_orange http://ubuntu:44103/
[rosmaster.master][INFO] 2017-10-05 17:00:39,750: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:44103/
[rosmaster.master][INFO] 2017-10-05 17:00:39,751: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:44103/
[rosmaster.master][INFO] 2017-10-05 17:00:39,820: +PUB [/rosout] /camera http://ubuntu:33408/
[rosmaster.master][INFO] 2017-10-05 17:00:39,821: +SERVICE [/camera/get_loggers] /camera http://ubuntu:33408/
[rosmaster.master][INFO] 2017-10-05 17:00:39,822: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:33408/
[rosmaster.master][INFO] 2017-10-05 17:00:39,839: publisherUpdate[/rosout] -> http://ubuntu:38762/ ['http://ubuntu:44103/']
[rosmaster.master][INFO] 2017-10-05 17:00:39,845: publisherUpdate[/rosout] -> http://ubuntu:38762/ ['http://ubuntu:44103/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 17:00:39,845: publisherUpdate[/rosout] -> http://ubuntu:38762/ ['http://ubuntu:44103/', 'http://ubuntu:33408/']
[rosmaster.master][INFO] 2017-10-05 17:00:39,849: publisherUpdate[/rosout] -> http://ubuntu:38762/ ['http://ubuntu:44103/', 'http://ubuntu:33408/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 17:00:39,849: +PUB [/rosout] /view http://ubuntu:43638/
[rosmaster.master][INFO] 2017-10-05 17:00:39,850: +SERVICE [/view/get_loggers] /view http://ubuntu:43638/
[rosmaster.master][INFO] 2017-10-05 17:00:39,851: +SERVICE [/view/set_logger_level] /view http://ubuntu:43638/
[rosmaster.master][INFO] 2017-10-05 17:00:39,865: +SUB [/tf] /view http://ubuntu:43638/
[rosmaster.master][INFO] 2017-10-05 17:00:39,878: +SUB [/tf_static] /view http://ubuntu:43638/
[rosmaster.master][INFO] 2017-10-05 17:00:39,909: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:33408/
[rosmaster.master][INFO] 2017-10-05 17:00:39,933: +SUB [/camera/image_raw] /mask_orange http://ubuntu:44103/
[rosmaster.master][INFO] 2017-10-05 17:00:39,941: publisherUpdate[/rosout] -> http://ubuntu:38762/ ['http://ubuntu:44103/', 'http://ubuntu:33408/', 'http://ubuntu:43638/']
[rosmaster.master][INFO] 2017-10-05 17:00:39,942: publisherUpdate[/rosout] -> http://ubuntu:38762/ ['http://ubuntu:44103/', 'http://ubuntu:33408/', 'http://ubuntu:43638/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 17:00:39,950: +PUB [/image/screenpoint] /view http://ubuntu:43638/
