[rosmaster.main][INFO] 2017-09-27 17:38:49,924: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-27 17:38:49,924: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-27 17:38:49,924: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-27 17:38:49,925: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-27 17:38:49,925: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-27 17:38:49,925: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-27 17:38:49,983: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:38:49,986: +PARAM [/roslaunch/uris/host_ubuntu__35170] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:38:50,063: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:38:50,063: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:38:50,063: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:38:50,083: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46499/
[rosmaster.master][INFO] 2017-09-27 17:38:50,090: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46499/
[rosmaster.master][INFO] 2017-09-27 17:38:50,092: +PUB [/rosout_agg] /rosout http://ubuntu:46499/
[rosmaster.master][INFO] 2017-09-27 17:38:50,107: +SUB [/rosout] /rosout http://ubuntu:46499/
[rosmaster.master][INFO] 2017-09-27 17:38:50,225: +PUB [/rosout] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,226: +SERVICE [/mask/get_loggers] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,227: publisherUpdate[/rosout] -> http://ubuntu:46499/ ['http://ubuntu:35695/']
[rosmaster.master][INFO] 2017-09-27 17:38:50,228: publisherUpdate[/rosout] -> http://ubuntu:46499/ ['http://ubuntu:35695/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:38:50,228: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,249: +PUB [/rosout] /camera http://ubuntu:35759/
[rosmaster.master][INFO] 2017-09-27 17:38:50,250: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35759/
[rosmaster.master][INFO] 2017-09-27 17:38:50,252: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35759/
[rosmaster.master][INFO] 2017-09-27 17:38:50,263: +PUB [/rosout] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,264: +SERVICE [/view/get_loggers] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,265: +SERVICE [/view/set_logger_level] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,276: +SUB [/tf] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,282: +SUB [/tf_static] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,305: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35759/
[rosmaster.master][INFO] 2017-09-27 17:38:50,328: publisherUpdate[/rosout] -> http://ubuntu:46499/ ['http://ubuntu:35695/', 'http://ubuntu:35759/']
[rosmaster.master][INFO] 2017-09-27 17:38:50,329: publisherUpdate[/rosout] -> http://ubuntu:46499/ ['http://ubuntu:35695/', 'http://ubuntu:35759/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:38:50,329: publisherUpdate[/rosout] -> http://ubuntu:46499/ ['http://ubuntu:35695/', 'http://ubuntu:35759/', 'http://ubuntu:40880/']
[rosmaster.master][INFO] 2017-09-27 17:38:50,329: publisherUpdate[/rosout] -> http://ubuntu:46499/ ['http://ubuntu:35695/', 'http://ubuntu:35759/', 'http://ubuntu:40880/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:38:50,332: +PUB [/image/screenpoint] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,333: +PUB [/image/screenpoint_array] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,333: +PUB [/image/screenrectangle] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,335: +PUB [/image/screenrectangle_image] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,336: +PUB [/image/movepoint] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,336: +PUB [/image/foreground] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,337: +PUB [/image/background] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,339: +PUB [/image/foreground_rect] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,340: +PUB [/image/background_rect] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,341: +PUB [/image/line] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,342: +PUB [/image/poly] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,366: +SUB [/camera/image_raw] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,414: +PUB [/image_marked/compressedDepth] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,415: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,416: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,417: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,421: +PUB [/image/compressedDepth] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,421: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,422: +SERVICE [/image/compressedDepth/set_parameters] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,424: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,425: +PUB [/image/compressedDepth/parameter_descriptions] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,425: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,426: +PUB [/image/compressedDepth/parameter_updates] /mask http://ubuntu:35695/
[rosmaster.master][INFO] 2017-09-27 17:38:50,427: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,428: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,430: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,440: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-27 17:38:50,441: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-27 17:38:50,441: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:38:50,442: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-27 17:38:50,443: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-27 17:38:50,444: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:38:50,490: +PUB [/image_marked/compressed] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,491: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,492: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,495: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:40880/
[rosmaster.master][INFO] 2017-09-27 17:38:50,497: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,498: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-27 17:38:50,498: +PUB [/image/compressed] /mask http://ubuntu:35695/
