[rosmaster.main][INFO] 2017-09-22 18:27:45,584: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 18:27:45,584: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 18:27:45,585: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 18:27:45,585: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 18:27:45,585: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 18:27:45,585: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 18:27:45,603: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:45,604: +PARAM [/roslaunch/uris/host_ubuntu__33081] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:45,698: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:45,699: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:45,699: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:45,755: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42665/
[rosmaster.master][INFO] 2017-09-22 18:27:45,759: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42665/
[rosmaster.master][INFO] 2017-09-22 18:27:45,775: +PUB [/rosout_agg] /rosout http://ubuntu:42665/
[rosmaster.master][INFO] 2017-09-22 18:27:45,818: +SUB [/rosout] /rosout http://ubuntu:42665/
[rosmaster.master][INFO] 2017-09-22 18:27:45,896: +PUB [/rosout] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:45,898: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:45,900: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:45,986: publisherUpdate[/rosout] -> http://ubuntu:42665/ ['http://ubuntu:44543/']
[rosmaster.master][INFO] 2017-09-22 18:27:45,987: publisherUpdate[/rosout] -> http://ubuntu:42665/ ['http://ubuntu:44543/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:27:46,022: +PUB [/rosout] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,024: +SERVICE [/view/get_loggers] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,025: +SERVICE [/view/set_logger_level] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,029: +PUB [/rosout] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-09-22 18:27:46,030: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-09-22 18:27:46,034: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-09-22 18:27:46,046: +SUB [/tf] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,067: +SUB [/tf_static] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,088: publisherUpdate[/rosout] -> http://ubuntu:42665/ ['http://ubuntu:44543/', 'http://ubuntu:38281/']
[rosmaster.master][INFO] 2017-09-22 18:27:46,089: publisherUpdate[/rosout] -> http://ubuntu:42665/ ['http://ubuntu:44543/', 'http://ubuntu:38281/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:27:46,089: publisherUpdate[/rosout] -> http://ubuntu:42665/ ['http://ubuntu:44543/', 'http://ubuntu:38281/', 'http://ubuntu:46129/']
[rosmaster.master][INFO] 2017-09-22 18:27:46,089: publisherUpdate[/rosout] -> http://ubuntu:42665/ ['http://ubuntu:44543/', 'http://ubuntu:38281/', 'http://ubuntu:46129/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:27:46,106: +SUB [/camera/image_raw] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:46,130: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-09-22 18:27:46,146: +PUB [/image/screenpoint] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,147: +PUB [/image/screenpoint_array] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,148: +PUB [/image/screenrectangle] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,149: +PUB [/image/screenrectangle_image] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,150: +PUB [/image/movepoint] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,151: +PUB [/image/foreground] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,159: +PUB [/image/background] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,159: +PUB [/image/foreground_rect] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,160: +PUB [/image/background_rect] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,161: +PUB [/image/line] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,162: +PUB [/image/poly] /view http://ubuntu:38281/
[rosmaster.master][INFO] 2017-09-22 18:27:46,208: +PUB [/image/compressedDepth] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:46,209: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:46,210: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:44543/
[rosmaster.master][INFO] 2017-09-22 18:27:46,210: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:44543/
