[rosmaster.main][INFO] 2017-09-20 18:44:27,363: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:44:27,364: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:44:27,366: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:44:27,366: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:44:27,366: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:44:27,367: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:44:27,408: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:44:27,409: +PARAM [/roslaunch/uris/host_ubuntu__43326] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:44:27,480: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:44:27,480: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:44:27,480: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:44:27,513: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41138/
[rosmaster.master][INFO] 2017-09-20 18:44:27,516: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41138/
[rosmaster.master][INFO] 2017-09-20 18:44:27,524: +PUB [/rosout_agg] /rosout http://ubuntu:41138/
[rosmaster.master][INFO] 2017-09-20 18:44:27,555: +SUB [/rosout] /rosout http://ubuntu:41138/
[rosmaster.master][INFO] 2017-09-20 18:44:27,663: +PUB [/rosout] /image_converter http://ubuntu:39673/
[rosmaster.master][INFO] 2017-09-20 18:44:27,664: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:39673/
[rosmaster.master][INFO] 2017-09-20 18:44:27,665: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:39673/
[rosmaster.master][INFO] 2017-09-20 18:44:27,666: publisherUpdate[/rosout] -> http://ubuntu:41138/ ['http://ubuntu:39673/']
[rosmaster.master][INFO] 2017-09-20 18:44:27,670: publisherUpdate[/rosout] -> http://ubuntu:41138/ ['http://ubuntu:39673/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:44:27,750: +PUB [/rosout] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,751: +SERVICE [/view/get_loggers] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,752: +SERVICE [/view/set_logger_level] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,757: +PUB [/rosout] /camera http://ubuntu:35601/
[rosmaster.master][INFO] 2017-09-20 18:44:27,759: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35601/
[rosmaster.master][INFO] 2017-09-20 18:44:27,760: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35601/
[rosmaster.master][INFO] 2017-09-20 18:44:27,767: +SUB [/tf] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,777: publisherUpdate[/rosout] -> http://ubuntu:41138/ ['http://ubuntu:39673/', 'http://ubuntu:41058/']
[rosmaster.master][INFO] 2017-09-20 18:44:27,778: publisherUpdate[/rosout] -> http://ubuntu:41138/ ['http://ubuntu:39673/', 'http://ubuntu:41058/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:44:27,778: publisherUpdate[/rosout] -> http://ubuntu:41138/ ['http://ubuntu:39673/', 'http://ubuntu:41058/', 'http://ubuntu:35601/']
[rosmaster.master][INFO] 2017-09-20 18:44:27,778: publisherUpdate[/rosout] -> http://ubuntu:41138/ ['http://ubuntu:39673/', 'http://ubuntu:41058/', 'http://ubuntu:35601/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:44:27,785: +SUB [/tf_static] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,810: +SUB [/camera/image_raw] /image_converter http://ubuntu:39673/
[rosmaster.master][INFO] 2017-09-20 18:44:27,837: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35601/
[rosmaster.master][INFO] 2017-09-20 18:44:27,845: +PUB [/image/screenpoint] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,846: +PUB [/image/screenpoint_array] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,847: +PUB [/image/screenrectangle] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,848: +PUB [/image/screenrectangle_image] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,848: +PUB [/image/movepoint] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,849: +PUB [/image/foreground] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,850: +PUB [/image/background] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,850: +PUB [/image/foreground_rect] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,851: +PUB [/image/background_rect] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,852: +PUB [/image/line] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,855: +PUB [/image/poly] /view http://ubuntu:41058/
[rosmaster.master][INFO] 2017-09-20 18:44:27,890: +PUB [/image/compressedDepth] /image_converter http://ubuntu:39673/
