[rosmaster.main][INFO] 2017-10-04 12:58:36,952: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 12:58:36,952: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 12:58:36,953: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 12:58:36,953: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 12:58:36,953: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 12:58:36,954: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 12:58:37,000: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:58:37,001: +PARAM [/roslaunch/uris/host_ubuntu__33378] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:58:37,076: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:58:37,076: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:58:37,077: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:58:37,082: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44378/
[rosmaster.master][INFO] 2017-10-04 12:58:37,084: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44378/
[rosmaster.master][INFO] 2017-10-04 12:58:37,088: +PUB [/rosout_agg] /rosout http://ubuntu:44378/
[rosmaster.master][INFO] 2017-10-04 12:58:37,114: +SUB [/rosout] /rosout http://ubuntu:44378/
[rosmaster.master][INFO] 2017-10-04 12:58:37,198: +PUB [/rosout] /mask_orange http://ubuntu:40068/
[rosmaster.master][INFO] 2017-10-04 12:58:37,204: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:40068/
[rosmaster.master][INFO] 2017-10-04 12:58:37,205: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:40068/
[rosmaster.master][INFO] 2017-10-04 12:58:37,240: +PUB [/rosout] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-10-04 12:58:37,241: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-10-04 12:58:37,241: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46129/
[rosmaster.master][INFO] 2017-10-04 12:58:37,248: +PUB [/rosout] /view http://ubuntu:42761/
[rosmaster.master][INFO] 2017-10-04 12:58:37,249: +SERVICE [/view/get_loggers] /view http://ubuntu:42761/
[rosmaster.master][INFO] 2017-10-04 12:58:37,249: +SERVICE [/view/set_logger_level] /view http://ubuntu:42761/
[rosmaster.master][INFO] 2017-10-04 12:58:37,254: publisherUpdate[/rosout] -> http://ubuntu:44378/ ['http://ubuntu:40068/']
