[rosmaster.main][INFO] 2017-09-21 16:48:53,917: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 16:48:53,918: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 16:48:53,925: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-21 16:48:53,926: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 16:48:53,926: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 16:48:53,926: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 16:48:53,972: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:53,974: +PARAM [/roslaunch/uris/host_ubuntu__39042] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:54,040: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:54,040: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:54,041: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 16:48:54,071: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:40200/
[rosmaster.master][INFO] 2017-09-21 16:48:54,074: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:40200/
[rosmaster.master][INFO] 2017-09-21 16:48:54,087: +PUB [/rosout_agg] /rosout http://ubuntu:40200/
[rosmaster.master][INFO] 2017-09-21 16:48:54,095: +SUB [/rosout] /rosout http://ubuntu:40200/
[rosmaster.master][INFO] 2017-09-21 16:48:54,149: +PUB [/rosout] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,150: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,151: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,219: publisherUpdate[/rosout] -> http://ubuntu:40200/ ['http://ubuntu:41721/']
[rosmaster.master][INFO] 2017-09-21 16:48:54,220: publisherUpdate[/rosout] -> http://ubuntu:40200/ ['http://ubuntu:41721/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:48:54,237: +PUB [/rosout] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,237: +PUB [/rosout] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,238: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,239: +SERVICE [/view/get_loggers] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,240: +SERVICE [/view/set_logger_level] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,240: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,262: +SUB [/tf] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,268: +SUB [/tf_static] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,314: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,320: publisherUpdate[/rosout] -> http://ubuntu:40200/ ['http://ubuntu:41721/', 'http://ubuntu:37142/']
[rosmaster.master][INFO] 2017-09-21 16:48:54,321: publisherUpdate[/rosout] -> http://ubuntu:40200/ ['http://ubuntu:41721/', 'http://ubuntu:37142/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:48:54,321: publisherUpdate[/rosout] -> http://ubuntu:40200/ ['http://ubuntu:41721/', 'http://ubuntu:37142/', 'http://ubuntu:36754/']
[rosmaster.master][INFO] 2017-09-21 16:48:54,322: publisherUpdate[/rosout] -> http://ubuntu:40200/ ['http://ubuntu:41721/', 'http://ubuntu:37142/', 'http://ubuntu:36754/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 16:48:54,323: +SUB [/camera/image_raw] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,329: +PUB [/image/screenpoint] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,330: +PUB [/image/screenpoint_array] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,331: +PUB [/image/screenrectangle] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,332: +PUB [/image/screenrectangle_image] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,334: +PUB [/image/movepoint] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,337: +PUB [/image/foreground] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,338: +PUB [/image/background] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,339: +PUB [/image/foreground_rect] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,342: +PUB [/image/background_rect] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,343: +PUB [/image/line] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,344: +PUB [/image/poly] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,392: +PUB [/image/compressedDepth] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,393: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,394: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,395: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,400: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,402: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,406: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,407: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,408: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,408: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,424: +PUB [/image_marked/compressedDepth] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,425: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,425: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,426: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,429: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,431: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,434: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,435: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,436: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,438: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,472: +PUB [/image/compressed] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,473: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,474: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,475: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,480: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,481: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,481: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,485: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,486: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,487: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,498: +PUB [/image_marked/compressed] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,499: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,499: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,500: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,506: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,507: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,507: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,508: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,509: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,509: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 16:48:54,560: +PUB [/image] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,586: +PUB [/image_marked] /view http://ubuntu:36754/
[rosmaster.master][INFO] 2017-09-21 16:48:54,657: +PUB [/image/theora] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,658: +SERVICE [/image/theora/set_parameters] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,659: +PUB [/image/theora/parameter_descriptions] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,660: +PUB [/image/theora/parameter_updates] /image_converter http://ubuntu:41721/
[rosmaster.master][INFO] 2017-09-21 16:48:54,665: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,671: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,671: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,672: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,673: +PARAM [/image/theora/quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,677: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:37142/
[rosmaster.master][INFO] 2017-09-21 16:48:54,678: +PARAM [/image/theora/keyframe_frequency] by /image_converter
[rosmaster.master][INFO] 2017-09-21 16:48:54,679: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:37142/
