[rosmaster.main][INFO] 2017-09-22 18:27:57,094: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 18:27:57,095: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 18:27:57,095: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 18:27:57,096: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 18:27:57,096: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 18:27:57,096: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 18:27:57,211: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:57,215: +PARAM [/roslaunch/uris/host_ubuntu__37702] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:57,306: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:57,306: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:57,306: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:27:57,316: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37735/
[rosmaster.master][INFO] 2017-09-22 18:27:57,322: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37735/
[rosmaster.master][INFO] 2017-09-22 18:27:57,330: +PUB [/rosout_agg] /rosout http://ubuntu:37735/
[rosmaster.master][INFO] 2017-09-22 18:27:57,351: +SUB [/rosout] /rosout http://ubuntu:37735/
[rosmaster.master][INFO] 2017-09-22 18:27:57,451: +PUB [/rosout] /image_converter http://ubuntu:36323/
[rosmaster.master][INFO] 2017-09-22 18:27:57,453: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36323/
[rosmaster.master][INFO] 2017-09-22 18:27:57,453: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36323/
[rosmaster.master][INFO] 2017-09-22 18:27:57,496: publisherUpdate[/rosout] -> http://ubuntu:37735/ ['http://ubuntu:36323/']
[rosmaster.master][INFO] 2017-09-22 18:27:57,498: publisherUpdate[/rosout] -> http://ubuntu:37735/ ['http://ubuntu:36323/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:27:57,498: publisherUpdate[/rosout] -> http://ubuntu:37735/ ['http://ubuntu:36323/', 'http://ubuntu:36429/']
[rosmaster.master][INFO] 2017-09-22 18:27:57,499: publisherUpdate[/rosout] -> http://ubuntu:37735/ ['http://ubuntu:36323/', 'http://ubuntu:36429/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:27:57,499: +PUB [/rosout] /camera http://ubuntu:36429/
[rosmaster.master][INFO] 2017-09-22 18:27:57,500: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36429/
[rosmaster.master][INFO] 2017-09-22 18:27:57,500: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36429/
[rosmaster.master][INFO] 2017-09-22 18:27:57,524: +PUB [/rosout] /view http://ubuntu:33734/
[rosmaster.master][INFO] 2017-09-22 18:27:57,525: +SERVICE [/view/get_loggers] /view http://ubuntu:33734/
[rosmaster.master][INFO] 2017-09-22 18:27:57,526: +SERVICE [/view/set_logger_level] /view http://ubuntu:33734/
[rosmaster.master][INFO] 2017-09-22 18:27:57,540: +SUB [/tf] /view http://ubuntu:33734/
[rosmaster.master][INFO] 2017-09-22 18:27:57,553: +SUB [/tf_static] /view http://ubuntu:33734/
[rosmaster.master][INFO] 2017-09-22 18:27:57,595: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:36429/
