[rosmaster.main][INFO] 2017-09-20 17:54:36,557: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 17:54:36,557: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 17:54:36,558: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 17:54:36,558: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 17:54:36,558: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 17:54:36,558: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 17:54:36,622: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:54:36,625: +PARAM [/roslaunch/uris/host_ubuntu__38567] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:54:36,694: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:54:36,694: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:54:36,694: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:54:36,729: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42079/
[rosmaster.master][INFO] 2017-09-20 17:54:36,730: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42079/
[rosmaster.master][INFO] 2017-09-20 17:54:36,740: +PUB [/rosout_agg] /rosout http://ubuntu:42079/
[rosmaster.master][INFO] 2017-09-20 17:54:36,754: +SUB [/rosout] /rosout http://ubuntu:42079/
[rosmaster.master][INFO] 2017-09-20 17:54:36,866: +PUB [/rosout] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:36,868: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:36,870: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:36,942: +PUB [/rosout] /camera http://ubuntu:41318/
[rosmaster.master][INFO] 2017-09-20 17:54:36,943: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41318/
[rosmaster.master][INFO] 2017-09-20 17:54:36,944: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41318/
[rosmaster.master][INFO] 2017-09-20 17:54:36,961: +PUB [/rosout] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:36,961: publisherUpdate[/rosout] -> http://ubuntu:42079/ ['http://ubuntu:39644/']
[rosmaster.master][INFO] 2017-09-20 17:54:36,965: publisherUpdate[/rosout] -> http://ubuntu:42079/ ['http://ubuntu:39644/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:54:36,965: publisherUpdate[/rosout] -> http://ubuntu:42079/ ['http://ubuntu:39644/', 'http://ubuntu:41318/']
[rosmaster.master][INFO] 2017-09-20 17:54:36,969: publisherUpdate[/rosout] -> http://ubuntu:42079/ ['http://ubuntu:39644/', 'http://ubuntu:41318/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:54:36,969: publisherUpdate[/rosout] -> http://ubuntu:42079/ ['http://ubuntu:39644/', 'http://ubuntu:41318/', 'http://ubuntu:39270/']
[rosmaster.master][INFO] 2017-09-20 17:54:36,969: publisherUpdate[/rosout] -> http://ubuntu:42079/ ['http://ubuntu:39644/', 'http://ubuntu:41318/', 'http://ubuntu:39270/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:54:36,970: +SERVICE [/view/get_loggers] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:36,973: +SERVICE [/view/set_logger_level] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:36,985: +SUB [/tf] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:36,993: +SUB [/tf_static] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,021: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:41318/
[rosmaster.master][INFO] 2017-09-20 17:54:37,029: +SUB [/camera/image_raw] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:37,045: +PUB [/image/screenpoint] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,046: +PUB [/image/screenpoint_array] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,046: +PUB [/image/screenrectangle] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,047: +PUB [/image/screenrectangle_image] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,049: +PUB [/image/movepoint] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,050: +PUB [/image/foreground] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,050: +PUB [/image/background] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,051: +PUB [/image/foreground_rect] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,051: +PUB [/image/background_rect] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,053: +PUB [/image/line] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,057: +PUB [/image/poly] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,095: +PUB [/image/compressedDepth] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:37,096: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:37,097: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:37,097: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:39644/
[rosmaster.master][INFO] 2017-09-20 17:54:37,102: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:54:37,103: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:54:37,105: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:54:37,106: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:54:37,109: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:54:37,110: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 17:54:37,129: +PUB [/image_marked/compressedDepth] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,130: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:39270/
[rosmaster.master][INFO] 2017-09-20 17:54:37,131: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:39270/
