[rosmaster.main][INFO] 2017-10-10 18:42:31,336: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-10 18:42:31,336: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-10 18:42:31,337: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-10 18:42:31,337: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-10 18:42:31,337: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-10 18:42:31,337: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-10 18:42:31,394: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:42:31,398: +PARAM [/roslaunch/uris/host_ubuntu__38226] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:42:31,489: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:42:31,489: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:42:31,489: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:42:31,536: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39604/
[rosmaster.master][INFO] 2017-10-10 18:42:31,540: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39604/
[rosmaster.master][INFO] 2017-10-10 18:42:31,542: +PUB [/rosout_agg] /rosout http://ubuntu:39604/
[rosmaster.master][INFO] 2017-10-10 18:42:31,567: +SUB [/rosout] /rosout http://ubuntu:39604/
[rosmaster.master][INFO] 2017-10-10 18:42:31,708: +PUB [/rosout] /mask_orange http://ubuntu:40798/
[rosmaster.master][INFO] 2017-10-10 18:42:31,709: +PUB [/rosout] /orange_col_sender http://ubuntu:41027/
[rosmaster.master][INFO] 2017-10-10 18:42:31,710: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:40798/
[rosmaster.master][INFO] 2017-10-10 18:42:31,711: +SERVICE [/orange_col_sender/get_loggers] /orange_col_sender http://ubuntu:41027/
[rosmaster.master][INFO] 2017-10-10 18:42:31,712: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:40798/
[rosmaster.master][INFO] 2017-10-10 18:42:31,713: +SERVICE [/orange_col_sender/set_logger_level] /orange_col_sender http://ubuntu:41027/
[rosmaster.master][INFO] 2017-10-10 18:42:31,740: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/']
[rosmaster.master][INFO] 2017-10-10 18:42:31,752: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:42:31,752: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/', 'http://ubuntu:41027/']
[rosmaster.master][INFO] 2017-10-10 18:42:31,766: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/', 'http://ubuntu:41027/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:42:31,850: +PUB [/rosout] /camera http://ubuntu:40208/
[rosmaster.master][INFO] 2017-10-10 18:42:31,851: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/', 'http://ubuntu:41027/', 'http://ubuntu:40208/']
[rosmaster.master][INFO] 2017-10-10 18:42:31,851: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/', 'http://ubuntu:41027/', 'http://ubuntu:40208/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:42:31,852: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40208/
[rosmaster.master][INFO] 2017-10-10 18:42:31,853: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40208/
[rosmaster.master][INFO] 2017-10-10 18:42:31,916: +PUB [/rosout] /view http://ubuntu:46300/
[rosmaster.master][INFO] 2017-10-10 18:42:31,917: +SERVICE [/view/get_loggers] /view http://ubuntu:46300/
[rosmaster.master][INFO] 2017-10-10 18:42:31,918: +SERVICE [/view/set_logger_level] /view http://ubuntu:46300/
[rosmaster.master][INFO] 2017-10-10 18:42:31,938: +SUB [/tf] /view http://ubuntu:46300/
[rosmaster.master][INFO] 2017-10-10 18:42:31,952: publisherUpdate[/rosout] -> http://ubuntu:39604/ ['http://ubuntu:40798/', 'http://ubuntu:41027/', 'http://ubuntu:40208/', 'http://ubuntu:46300/']
