[rosmaster.main][INFO] 2017-10-05 18:12:40,372: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 18:12:40,373: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 18:12:40,373: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 18:12:40,374: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 18:12:40,374: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 18:12:40,374: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 18:12:40,416: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:12:40,418: +PARAM [/roslaunch/uris/host_ubuntu__40695] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:12:40,492: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:12:40,493: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:12:40,493: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:12:40,498: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36136/
[rosmaster.master][INFO] 2017-10-05 18:12:40,499: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36136/
[rosmaster.master][INFO] 2017-10-05 18:12:40,504: +PUB [/rosout_agg] /rosout http://ubuntu:36136/
[rosmaster.master][INFO] 2017-10-05 18:12:40,533: +SUB [/rosout] /rosout http://ubuntu:36136/
[rosmaster.master][INFO] 2017-10-05 18:12:40,622: +PUB [/rosout] /mask_orange http://ubuntu:41438/
[rosmaster.master][INFO] 2017-10-05 18:12:40,625: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:41438/
[rosmaster.master][INFO] 2017-10-05 18:12:40,629: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:41438/
[rosmaster.master][INFO] 2017-10-05 18:12:40,653: +PUB [/rosout] /camera http://ubuntu:37480/
[rosmaster.master][INFO] 2017-10-05 18:12:40,654: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37480/
[rosmaster.master][INFO] 2017-10-05 18:12:40,654: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37480/
[rosmaster.master][INFO] 2017-10-05 18:12:40,674: publisherUpdate[/rosout] -> http://ubuntu:36136/ ['http://ubuntu:41438/']
[rosmaster.master][INFO] 2017-10-05 18:12:40,676: publisherUpdate[/rosout] -> http://ubuntu:36136/ ['http://ubuntu:41438/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:12:40,676: publisherUpdate[/rosout] -> http://ubuntu:36136/ ['http://ubuntu:41438/', 'http://ubuntu:37480/']
[rosmaster.master][INFO] 2017-10-05 18:12:40,676: publisherUpdate[/rosout] -> http://ubuntu:36136/ ['http://ubuntu:41438/', 'http://ubuntu:37480/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:12:40,677: +PUB [/rosout] /view http://ubuntu:36779/
