[rosmaster.main][INFO] 2017-10-04 18:06:55,656: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 18:06:55,657: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 18:06:55,657: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 18:06:55,658: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 18:06:55,658: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 18:06:55,658: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 18:06:55,710: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:06:55,711: +PARAM [/roslaunch/uris/host_ubuntu__40897] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:06:55,775: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:06:55,775: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:06:55,775: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:06:55,787: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36961/
[rosmaster.master][INFO] 2017-10-04 18:06:55,788: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36961/
[rosmaster.master][INFO] 2017-10-04 18:06:55,793: +PUB [/rosout_agg] /rosout http://ubuntu:36961/
[rosmaster.master][INFO] 2017-10-04 18:06:55,810: +SUB [/rosout] /rosout http://ubuntu:36961/
[rosmaster.master][INFO] 2017-10-04 18:06:55,889: +PUB [/rosout] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:55,891: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:55,894: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:55,930: +PUB [/rosout] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:55,931: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:55,931: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:55,943: +PUB [/rosout] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:55,944: +SERVICE [/view/get_loggers] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:55,946: +SERVICE [/view/set_logger_level] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:55,958: publisherUpdate[/rosout] -> http://ubuntu:36961/ ['http://ubuntu:39002/']
[rosmaster.master][INFO] 2017-10-04 18:06:55,960: publisherUpdate[/rosout] -> http://ubuntu:36961/ ['http://ubuntu:39002/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:06:55,960: publisherUpdate[/rosout] -> http://ubuntu:36961/ ['http://ubuntu:39002/', 'http://ubuntu:34062/']
[rosmaster.master][INFO] 2017-10-04 18:06:55,960: publisherUpdate[/rosout] -> http://ubuntu:36961/ ['http://ubuntu:39002/', 'http://ubuntu:34062/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:06:55,961: publisherUpdate[/rosout] -> http://ubuntu:36961/ ['http://ubuntu:39002/', 'http://ubuntu:34062/', 'http://ubuntu:43112/']
[rosmaster.master][INFO] 2017-10-04 18:06:55,969: publisherUpdate[/rosout] -> http://ubuntu:36961/ ['http://ubuntu:39002/', 'http://ubuntu:34062/', 'http://ubuntu:43112/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:06:55,958: +SUB [/tf] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:55,972: +SUB [/tf_static] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,008: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:56,025: +PUB [/image/screenpoint] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,025: +PUB [/image/screenpoint_array] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,026: +PUB [/image/screenrectangle] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,027: +PUB [/image/screenrectangle_image] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,027: +PUB [/image/movepoint] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,028: +PUB [/image/foreground] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,029: +PUB [/image/background] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,030: +PUB [/image/foreground_rect] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,031: +PUB [/image/background_rect] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,032: +PUB [/image/line] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,034: +PUB [/image/poly] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,034: +SUB [/camera/image_raw] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,094: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,095: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,096: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,097: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,101: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,104: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,105: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,106: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,107: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,110: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,117: +PUB [/image_marked/compressedDepth] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,118: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,118: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,125: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,133: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 18:06:56,134: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-04 18:06:56,137: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-04 18:06:56,141: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 18:06:56,142: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-04 18:06:56,143: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-04 18:06:56,199: +PUB [/image/compressed] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,200: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,201: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,202: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:39002/
[rosmaster.master][INFO] 2017-10-04 18:06:56,204: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,208: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,211: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,212: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,213: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:56,214: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,217: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:56,217: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 18:06:56,224: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:56,228: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:34062/
[rosmaster.master][INFO] 2017-10-04 18:06:56,229: +PUB [/image_marked/compressed] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,233: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:43112/
[rosmaster.master][INFO] 2017-10-04 18:06:56,233: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
