[rosmaster.main][INFO] 2017-10-04 12:52:01,728: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 12:52:01,728: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 12:52:01,729: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-10-04 12:52:01,729: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 12:52:01,729: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 12:52:01,729: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 12:52:01,747: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:52:01,749: +PARAM [/roslaunch/uris/host_ubuntu__42856] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:52:01,825: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:52:01,825: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:52:01,825: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 12:52:01,866: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46675/
[rosmaster.master][INFO] 2017-10-04 12:52:01,868: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46675/
[rosmaster.master][INFO] 2017-10-04 12:52:01,873: +PUB [/rosout_agg] /rosout http://ubuntu:46675/
[rosmaster.master][INFO] 2017-10-04 12:52:01,909: +SUB [/rosout] /rosout http://ubuntu:46675/
[rosmaster.master][INFO] 2017-10-04 12:52:02,014: +PUB [/rosout] /mask_orange http://ubuntu:39173/
[rosmaster.master][INFO] 2017-10-04 12:52:02,015: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39173/
[rosmaster.master][INFO] 2017-10-04 12:52:02,021: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39173/
[rosmaster.master][INFO] 2017-10-04 12:52:02,030: publisherUpdate[/rosout] -> http://ubuntu:46675/ ['http://ubuntu:39173/']
[rosmaster.master][INFO] 2017-10-04 12:52:02,031: publisherUpdate[/rosout] -> http://ubuntu:46675/ ['http://ubuntu:39173/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 12:52:02,106: +PUB [/rosout] /camera http://ubuntu:42549/
[rosmaster.master][INFO] 2017-10-04 12:52:02,107: +PUB [/rosout] /view http://ubuntu:35856/
