[rosmaster.main][INFO] 2017-09-20 18:02:18,400: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:02:18,400: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:02:18,401: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:02:18,402: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:02:18,402: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:02:18,402: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:02:18,467: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:02:18,470: +PARAM [/roslaunch/uris/host_ubuntu__32998] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:02:18,539: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:02:18,539: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:02:18,539: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:02:18,581: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36360/
[rosmaster.master][INFO] 2017-09-20 18:02:18,585: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36360/
[rosmaster.master][INFO] 2017-09-20 18:02:18,587: +PUB [/rosout_agg] /rosout http://ubuntu:36360/
[rosmaster.master][INFO] 2017-09-20 18:02:18,609: +SUB [/rosout] /rosout http://ubuntu:36360/
[rosmaster.master][INFO] 2017-09-20 18:02:18,736: +PUB [/rosout] /image_converter http://ubuntu:36457/
[rosmaster.master][INFO] 2017-09-20 18:02:18,738: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36457/
[rosmaster.master][INFO] 2017-09-20 18:02:18,739: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36457/
[rosmaster.master][INFO] 2017-09-20 18:02:18,751: +PUB [/rosout] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,756: +SERVICE [/view/get_loggers] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,757: +SERVICE [/view/set_logger_level] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,774: +SUB [/tf] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,783: +SUB [/tf_static] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,803: publisherUpdate[/rosout] -> http://ubuntu:36360/ ['http://ubuntu:36457/']
[rosmaster.master][INFO] 2017-09-20 18:02:18,805: publisherUpdate[/rosout] -> http://ubuntu:36360/ ['http://ubuntu:36457/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:02:18,805: publisherUpdate[/rosout] -> http://ubuntu:36360/ ['http://ubuntu:36457/', 'http://ubuntu:41039/']
[rosmaster.master][INFO] 2017-09-20 18:02:18,806: publisherUpdate[/rosout] -> http://ubuntu:36360/ ['http://ubuntu:36457/', 'http://ubuntu:41039/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:02:18,811: +PUB [/rosout] /camera http://ubuntu:40110/
[rosmaster.master][INFO] 2017-09-20 18:02:18,816: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40110/
[rosmaster.master][INFO] 2017-09-20 18:02:18,818: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40110/
[rosmaster.master][INFO] 2017-09-20 18:02:18,833: +PUB [/image/screenpoint] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,834: +PUB [/image/screenpoint_array] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,835: +PUB [/image/screenrectangle] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,835: +PUB [/image/screenrectangle_image] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,836: +PUB [/image/movepoint] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,839: +PUB [/image/foreground] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,842: +PUB [/image/background] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,842: +PUB [/image/foreground_rect] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,844: +PUB [/image/background_rect] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,849: +PUB [/image/line] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,851: +PUB [/image/poly] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,887: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40110/
[rosmaster.master][INFO] 2017-09-20 18:02:18,904: +SUB [/camera/image_raw] /image_converter http://ubuntu:36457/
[rosmaster.master][INFO] 2017-09-20 18:02:18,906: publisherUpdate[/rosout] -> http://ubuntu:36360/ ['http://ubuntu:36457/', 'http://ubuntu:41039/', 'http://ubuntu:40110/']
[rosmaster.master][INFO] 2017-09-20 18:02:18,907: publisherUpdate[/rosout] -> http://ubuntu:36360/ ['http://ubuntu:36457/', 'http://ubuntu:41039/', 'http://ubuntu:40110/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:02:18,933: +PUB [/image_marked/compressedDepth] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,933: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,934: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,935: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:41039/
[rosmaster.master][INFO] 2017-09-20 18:02:18,939: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:02:18,940: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:02:18,942: +PARAM [/image_marked/compressedDepth/png_level] by /view
