[rosmaster.main][INFO] 2017-09-26 18:45:18,504: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:45:18,505: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:45:18,505: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:45:18,506: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:45:18,507: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:45:18,507: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:45:18,551: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:45:18,552: +PARAM [/roslaunch/uris/host_ubuntu__46042] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:45:18,626: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:45:18,626: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:45:18,626: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:45:18,640: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46572/
[rosmaster.master][INFO] 2017-09-26 18:45:18,644: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46572/
[rosmaster.master][INFO] 2017-09-26 18:45:18,655: +PUB [/rosout_agg] /rosout http://ubuntu:46572/
[rosmaster.master][INFO] 2017-09-26 18:45:18,681: +SUB [/rosout] /rosout http://ubuntu:46572/
[rosmaster.master][INFO] 2017-09-26 18:45:18,773: +PUB [/rosout] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:18,774: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:18,774: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:18,806: publisherUpdate[/rosout] -> http://ubuntu:46572/ ['http://ubuntu:33604/']
[rosmaster.master][INFO] 2017-09-26 18:45:18,808: publisherUpdate[/rosout] -> http://ubuntu:46572/ ['http://ubuntu:33604/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:45:18,831: +PUB [/rosout] /camera http://ubuntu:34896/
[rosmaster.master][INFO] 2017-09-26 18:45:18,834: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34896/
[rosmaster.master][INFO] 2017-09-26 18:45:18,839: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34896/
[rosmaster.master][INFO] 2017-09-26 18:45:18,863: +PUB [/rosout] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,864: +SERVICE [/view/get_loggers] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,865: +SERVICE [/view/set_logger_level] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,871: +SUB [/tf] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,888: +SUB [/tf_static] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,907: publisherUpdate[/rosout] -> http://ubuntu:46572/ ['http://ubuntu:33604/', 'http://ubuntu:34896/']
[rosmaster.master][INFO] 2017-09-26 18:45:18,908: publisherUpdate[/rosout] -> http://ubuntu:46572/ ['http://ubuntu:33604/', 'http://ubuntu:34896/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:45:18,908: publisherUpdate[/rosout] -> http://ubuntu:46572/ ['http://ubuntu:33604/', 'http://ubuntu:34896/', 'http://ubuntu:37987/']
[rosmaster.master][INFO] 2017-09-26 18:45:18,909: publisherUpdate[/rosout] -> http://ubuntu:46572/ ['http://ubuntu:33604/', 'http://ubuntu:34896/', 'http://ubuntu:37987/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:45:18,911: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:34896/
[rosmaster.master][INFO] 2017-09-26 18:45:18,958: +PUB [/image/screenpoint] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,959: +PUB [/image/screenpoint_array] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,960: +PUB [/image/screenrectangle] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,961: +PUB [/image/screenrectangle_image] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,961: +PUB [/image/movepoint] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,962: +PUB [/image/foreground] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,964: +PUB [/image/background] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,967: +PUB [/image/foreground_rect] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,968: +PUB [/image/background_rect] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,971: +PUB [/image/line] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,975: +PUB [/image/poly] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:18,986: +SUB [/camera/image_raw] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:19,083: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:19,084: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:19,087: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:19,091: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:33604/
[rosmaster.master][INFO] 2017-09-26 18:45:19,094: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:45:19,094: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:45:19,098: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:45:19,103: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:45:19,105: +PUB [/image_marked/compressedDepth] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:19,106: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:45:19,109: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:19,110: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:45:19,124: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:19,126: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:37987/
[rosmaster.master][INFO] 2017-09-26 18:45:19,135: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:45:19,140: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:45:19,143: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:45:19,144: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:45:19,147: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:45:19,151: +PARAM [/image_marked/compressedDepth/png_level] by /view
