[rosmaster.main][INFO] 2017-09-20 18:23:56,658: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:23:56,658: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:23:56,659: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:23:56,659: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:23:56,659: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:23:56,659: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:23:56,715: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:23:56,717: +PARAM [/roslaunch/uris/host_ubuntu__45294] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:23:56,784: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:23:56,784: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:23:56,784: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:23:56,821: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43765/
[rosmaster.master][INFO] 2017-09-20 18:23:56,824: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43765/
[rosmaster.master][INFO] 2017-09-20 18:23:56,827: +PUB [/rosout_agg] /rosout http://ubuntu:43765/
[rosmaster.master][INFO] 2017-09-20 18:23:56,845: +SUB [/rosout] /rosout http://ubuntu:43765/
[rosmaster.master][INFO] 2017-09-20 18:23:56,969: +PUB [/rosout] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:56,973: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:56,974: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,042: +PUB [/rosout] /camera http://ubuntu:46034/
[rosmaster.master][INFO] 2017-09-20 18:23:57,043: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46034/
[rosmaster.master][INFO] 2017-09-20 18:23:57,044: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46034/
[rosmaster.master][INFO] 2017-09-20 18:23:57,055: +PUB [/rosout] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,060: publisherUpdate[/rosout] -> http://ubuntu:43765/ ['http://ubuntu:40521/']
[rosmaster.master][INFO] 2017-09-20 18:23:57,065: publisherUpdate[/rosout] -> http://ubuntu:43765/ ['http://ubuntu:40521/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:23:57,065: publisherUpdate[/rosout] -> http://ubuntu:43765/ ['http://ubuntu:40521/', 'http://ubuntu:46034/']
[rosmaster.master][INFO] 2017-09-20 18:23:57,068: publisherUpdate[/rosout] -> http://ubuntu:43765/ ['http://ubuntu:40521/', 'http://ubuntu:46034/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:23:57,069: publisherUpdate[/rosout] -> http://ubuntu:43765/ ['http://ubuntu:40521/', 'http://ubuntu:46034/', 'http://ubuntu:45471/']
[rosmaster.master][INFO] 2017-09-20 18:23:57,069: publisherUpdate[/rosout] -> http://ubuntu:43765/ ['http://ubuntu:40521/', 'http://ubuntu:46034/', 'http://ubuntu:45471/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:23:57,069: +SERVICE [/view/get_loggers] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,070: +SERVICE [/view/set_logger_level] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,085: +SUB [/tf] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,095: +SUB [/tf_static] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,132: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46034/
[rosmaster.master][INFO] 2017-09-20 18:23:57,145: +SUB [/camera/image_raw] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,160: +PUB [/image/screenpoint] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,161: +PUB [/image/screenpoint_array] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,165: +PUB [/image/screenrectangle] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,166: +PUB [/image/screenrectangle_image] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,166: +PUB [/image/movepoint] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,167: +PUB [/image/foreground] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,168: +PUB [/image/background] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,168: +PUB [/image/foreground_rect] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,169: +PUB [/image/background_rect] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,170: +PUB [/image/line] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,171: +PUB [/image/poly] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,211: +PUB [/image/compressedDepth] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,212: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,213: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,214: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,218: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,219: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,221: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,222: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,225: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,226: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,244: +PUB [/image_marked/compressedDepth] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,244: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,248: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,249: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,251: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:23:57,252: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:23:57,253: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:23:57,254: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:23:57,257: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:23:57,258: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:23:57,290: +PUB [/image/compressed] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,291: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,292: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,293: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:40521/
[rosmaster.master][INFO] 2017-09-20 18:23:57,296: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,298: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,299: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,305: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,306: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,307: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:23:57,320: +PUB [/image_marked/compressed] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,321: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,322: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,323: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:45471/
[rosmaster.master][INFO] 2017-09-20 18:23:57,325: +PARAM [/image_marked/compressed/format] by /view
