[rosmaster.main][INFO] 2017-09-26 18:38:18,845: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:38:18,845: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:38:18,845: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-26 18:38:18,846: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:38:18,846: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:38:18,846: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:38:18,900: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:38:18,904: +PARAM [/roslaunch/uris/host_ubuntu__42058] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:38:18,991: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:38:18,991: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:38:18,991: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:38:18,998: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45937/
[rosmaster.master][INFO] 2017-09-26 18:38:19,000: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45937/
[rosmaster.master][INFO] 2017-09-26 18:38:19,005: +PUB [/rosout_agg] /rosout http://ubuntu:45937/
[rosmaster.master][INFO] 2017-09-26 18:38:19,036: +SUB [/rosout] /rosout http://ubuntu:45937/
[rosmaster.master][INFO] 2017-09-26 18:38:19,144: +PUB [/rosout] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,145: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,146: publisherUpdate[/rosout] -> http://ubuntu:45937/ ['http://ubuntu:42603/']
[rosmaster.master][INFO] 2017-09-26 18:38:19,151: publisherUpdate[/rosout] -> http://ubuntu:45937/ ['http://ubuntu:42603/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:38:19,151: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,199: +PUB [/rosout] /camera http://ubuntu:41935/
[rosmaster.master][INFO] 2017-09-26 18:38:19,200: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41935/
[rosmaster.master][INFO] 2017-09-26 18:38:19,201: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41935/
[rosmaster.master][INFO] 2017-09-26 18:38:19,217: +PUB [/rosout] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,218: +SERVICE [/view/get_loggers] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,219: +SERVICE [/view/set_logger_level] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,232: +SUB [/tf] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,251: publisherUpdate[/rosout] -> http://ubuntu:45937/ ['http://ubuntu:42603/', 'http://ubuntu:41935/']
[rosmaster.master][INFO] 2017-09-26 18:38:19,251: publisherUpdate[/rosout] -> http://ubuntu:45937/ ['http://ubuntu:42603/', 'http://ubuntu:41935/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:38:19,252: publisherUpdate[/rosout] -> http://ubuntu:45937/ ['http://ubuntu:42603/', 'http://ubuntu:41935/', 'http://ubuntu:45991/']
[rosmaster.master][INFO] 2017-09-26 18:38:19,254: publisherUpdate[/rosout] -> http://ubuntu:45937/ ['http://ubuntu:42603/', 'http://ubuntu:41935/', 'http://ubuntu:45991/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:38:19,260: +SUB [/tf_static] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,279: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:41935/
[rosmaster.master][INFO] 2017-09-26 18:38:19,325: +PUB [/image/screenpoint] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,327: +PUB [/image/screenpoint_array] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,328: +PUB [/image/screenrectangle] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,328: +PUB [/image/screenrectangle_image] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,329: +PUB [/image/movepoint] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,329: +PUB [/image/foreground] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,331: +PUB [/image/background] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,333: +PUB [/image/foreground_rect] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,336: +PUB [/image/background_rect] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,338: +PUB [/image/line] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,342: +PUB [/image/poly] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,349: +SUB [/camera/image_raw] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,438: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,439: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,439: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,443: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,447: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,448: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,449: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,452: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,453: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,459: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,467: +PUB [/image_marked/compressedDepth] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,468: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,472: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,472: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:45991/
[rosmaster.master][INFO] 2017-09-26 18:38:19,483: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:38:19,484: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:38:19,491: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:38:19,497: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:38:19,499: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:38:19,500: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:38:19,607: +PUB [/image/compressed] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,611: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,612: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,613: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:42603/
[rosmaster.master][INFO] 2017-09-26 18:38:19,619: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,620: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,624: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,634: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,635: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,639: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:38:19,651: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:41935/
