[rosmaster.main][INFO] 2017-10-04 13:49:45,635: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:49:45,635: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:49:45,635: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:49:45,636: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:49:45,636: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:49:45,636: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:49:45,689: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:49:45,690: +PARAM [/roslaunch/uris/host_ubuntu__45714] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:49:45,765: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:49:45,766: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:49:45,766: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:49:45,773: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46511/
[rosmaster.master][INFO] 2017-10-04 13:49:45,774: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46511/
[rosmaster.master][INFO] 2017-10-04 13:49:45,775: +PUB [/rosout_agg] /rosout http://ubuntu:46511/
[rosmaster.master][INFO] 2017-10-04 13:49:45,797: +SUB [/rosout] /rosout http://ubuntu:46511/
[rosmaster.master][INFO] 2017-10-04 13:49:45,896: +PUB [/rosout] /mask_orange http://ubuntu:44765/
[rosmaster.master][INFO] 2017-10-04 13:49:45,897: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:44765/
[rosmaster.master][INFO] 2017-10-04 13:49:45,898: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:44765/
[rosmaster.master][INFO] 2017-10-04 13:49:45,905: +PUB [/rosout] /camera http://ubuntu:35147/
[rosmaster.master][INFO] 2017-10-04 13:49:45,906: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35147/
[rosmaster.master][INFO] 2017-10-04 13:49:45,907: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35147/
[rosmaster.master][INFO] 2017-10-04 13:49:45,936: +PUB [/rosout] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:45,937: +SERVICE [/view/get_loggers] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:45,938: publisherUpdate[/rosout] -> http://ubuntu:46511/ ['http://ubuntu:44765/']
[rosmaster.master][INFO] 2017-10-04 13:49:45,939: publisherUpdate[/rosout] -> http://ubuntu:46511/ ['http://ubuntu:44765/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:49:45,939: publisherUpdate[/rosout] -> http://ubuntu:46511/ ['http://ubuntu:44765/', 'http://ubuntu:35147/']
[rosmaster.master][INFO] 2017-10-04 13:49:45,940: publisherUpdate[/rosout] -> http://ubuntu:46511/ ['http://ubuntu:44765/', 'http://ubuntu:35147/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:49:45,940: publisherUpdate[/rosout] -> http://ubuntu:46511/ ['http://ubuntu:44765/', 'http://ubuntu:35147/', 'http://ubuntu:39646/']
[rosmaster.master][INFO] 2017-10-04 13:49:45,940: publisherUpdate[/rosout] -> http://ubuntu:46511/ ['http://ubuntu:44765/', 'http://ubuntu:35147/', 'http://ubuntu:39646/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:49:45,940: +SERVICE [/view/set_logger_level] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:45,955: +SUB [/tf] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:45,961: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35147/
[rosmaster.master][INFO] 2017-10-04 13:49:45,962: +SUB [/tf_static] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,006: +PUB [/image/screenpoint] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,007: +PUB [/image/screenpoint_array] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,008: +PUB [/image/screenrectangle] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,008: +PUB [/image/screenrectangle_image] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,009: +PUB [/image/movepoint] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,010: +PUB [/image/foreground] /view http://ubuntu:39646/
[rosmaster.master][INFO] 2017-10-04 13:49:46,010: +PUB [/image/background] /view http://ubuntu:39646/
