[rosmaster.main][INFO] 2017-09-19 18:46:44,417: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-19 18:46:44,418: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-19 18:46:44,418: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-19 18:46:44,419: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-19 18:46:44,419: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-19 18:46:44,419: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-19 18:46:44,476: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:44,478: +PARAM [/roslaunch/uris/host_ubuntu__36731] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:44,632: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:44,632: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:44,632: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:44,818: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37218/
[rosmaster.master][INFO] 2017-09-19 18:46:44,823: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37218/
[rosmaster.master][INFO] 2017-09-19 18:46:44,832: +PUB [/rosout_agg] /rosout http://ubuntu:37218/
[rosmaster.master][INFO] 2017-09-19 18:46:44,859: +SUB [/rosout] /rosout http://ubuntu:37218/
[rosmaster.master][INFO] 2017-09-19 18:46:44,925: +PUB [/rosout] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:44,932: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:44,933: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,021: publisherUpdate[/rosout] -> http://ubuntu:37218/ ['http://ubuntu:45048/']
[rosmaster.master][INFO] 2017-09-19 18:46:45,023: publisherUpdate[/rosout] -> http://ubuntu:37218/ ['http://ubuntu:45048/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 18:46:45,143: +PUB [/rosout] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,145: +SERVICE [/view/get_loggers] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,147: +SERVICE [/view/set_logger_level] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,166: +SUB [/tf] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,190: +PUB [/rosout] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,199: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,200: +SUB [/tf_static] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,209: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,223: publisherUpdate[/rosout] -> http://ubuntu:37218/ ['http://ubuntu:45048/', 'http://ubuntu:33737/']
[rosmaster.master][INFO] 2017-09-19 18:46:45,228: publisherUpdate[/rosout] -> http://ubuntu:37218/ ['http://ubuntu:45048/', 'http://ubuntu:33737/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 18:46:45,228: publisherUpdate[/rosout] -> http://ubuntu:37218/ ['http://ubuntu:45048/', 'http://ubuntu:33737/', 'http://ubuntu:37587/']
[rosmaster.master][INFO] 2017-09-19 18:46:45,229: publisherUpdate[/rosout] -> http://ubuntu:37218/ ['http://ubuntu:45048/', 'http://ubuntu:33737/', 'http://ubuntu:37587/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 18:46:45,322: +PUB [/image/screenpoint] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,324: +PUB [/image/screenpoint_array] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,325: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,326: +PUB [/image/screenrectangle] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,326: +PUB [/image/screenrectangle_image] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,328: +PUB [/image/movepoint] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,335: +PUB [/image/foreground] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,337: +PUB [/image/background] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,343: +PUB [/image/foreground_rect] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,346: +PUB [/image/background_rect] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,353: +PUB [/image/line] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,356: +PUB [/image/poly] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,623: +PUB [/image_marked/compressedDepth] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,628: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,636: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,645: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,657: +SUB [/camera/image_raw] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,676: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,683: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,687: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,692: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,701: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,771: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,780: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,784: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,788: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,789: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,802: +PUB [/image/compressedDepth] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,802: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,807: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,812: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,813: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,813: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,814: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,815: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,820: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,824: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,833: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:45,838: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:45,839: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:45,846: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:45,848: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:45,856: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:45,921: +PUB [/image_marked/compressed] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,922: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,922: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,923: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:45,935: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,938: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,947: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,952: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,956: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,959: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:45,972: +PUB [/camera/image_raw/compressed] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,973: +SERVICE [/camera/image_raw/compressed/set_parameters] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,974: +PUB [/camera/image_raw/compressed/parameter_descriptions] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,974: +PUB [/camera/image_raw/compressed/parameter_updates] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:45,982: +PUB [/image/compressed] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,982: +PARAM [/camera/image_raw/compressed/format] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,983: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,988: +PARAM [/camera/image_raw/compressed/jpeg_quality] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,989: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,990: +PARAM [/camera/image_raw/compressed/png_level] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,990: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:45,991: +PARAM [/camera/image_raw/compressed/format] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,992: +PARAM [/camera/image_raw/compressed/jpeg_quality] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:45,995: +PARAM [/camera/image_raw/compressed/png_level] by /camera
[rosmaster.master][INFO] 2017-09-19 18:46:46,002: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:46,004: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:46,008: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:46,012: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:46,013: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:46,014: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-19 18:46:46,052: +PUB [/image_marked] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:46,109: +PUB [/camera/image_raw] /camera http://ubuntu:37587/
[rosmaster.master][INFO] 2017-09-19 18:46:46,119: +PUB [/image] /image_converter http://ubuntu:45048/
[rosmaster.master][INFO] 2017-09-19 18:46:46,171: +PUB [/image_marked/theora] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:46,172: publisherUpdate[/camera/image_raw] -> http://ubuntu:45048/ ['http://ubuntu:37587/']
[rosmaster.master][INFO] 2017-09-19 18:46:46,173: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:46,174: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:46,178: publisherUpdate[/camera/image_raw] -> http://ubuntu:45048/ ['http://ubuntu:37587/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 18:46:46,178: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:33737/
[rosmaster.master][INFO] 2017-09-19 18:46:46,188: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:46,189: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-19 18:46:46,192: +PARAM [/image_marked/theora/quality] by /view
