[rosmaster.main][INFO] 2017-09-23 15:07:17,296: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 15:07:17,296: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 15:07:17,297: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-23 15:07:17,297: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-23 15:07:17,297: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 15:07:17,298: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 15:07:17,336: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:07:17,337: +PARAM [/roslaunch/uris/host_ubuntu__39770] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:07:17,420: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:07:17,420: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:07:17,420: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:07:17,463: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34244/
[rosmaster.master][INFO] 2017-09-23 15:07:17,464: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34244/
[rosmaster.master][INFO] 2017-09-23 15:07:17,467: +PUB [/rosout_agg] /rosout http://ubuntu:34244/
[rosmaster.master][INFO] 2017-09-23 15:07:17,494: +SUB [/rosout] /rosout http://ubuntu:34244/
[rosmaster.master][INFO] 2017-09-23 15:07:17,564: +PUB [/rosout] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,566: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,567: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,599: publisherUpdate[/rosout] -> http://ubuntu:34244/ ['http://ubuntu:46388/']
[rosmaster.master][INFO] 2017-09-23 15:07:17,601: publisherUpdate[/rosout] -> http://ubuntu:34244/ ['http://ubuntu:46388/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 15:07:17,615: +PUB [/rosout] /camera http://ubuntu:35037/
[rosmaster.master][INFO] 2017-09-23 15:07:17,616: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35037/
[rosmaster.master][INFO] 2017-09-23 15:07:17,616: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35037/
[rosmaster.master][INFO] 2017-09-23 15:07:17,647: +PUB [/rosout] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,648: +SERVICE [/view/get_loggers] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,649: +SERVICE [/view/set_logger_level] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,659: +SUB [/tf] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,669: +SUB [/tf_static] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,700: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35037/
[rosmaster.master][INFO] 2017-09-23 15:07:17,701: publisherUpdate[/rosout] -> http://ubuntu:34244/ ['http://ubuntu:46388/', 'http://ubuntu:35037/']
[rosmaster.master][INFO] 2017-09-23 15:07:17,701: publisherUpdate[/rosout] -> http://ubuntu:34244/ ['http://ubuntu:46388/', 'http://ubuntu:35037/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 15:07:17,701: publisherUpdate[/rosout] -> http://ubuntu:34244/ ['http://ubuntu:46388/', 'http://ubuntu:35037/', 'http://ubuntu:36867/']
[rosmaster.master][INFO] 2017-09-23 15:07:17,702: publisherUpdate[/rosout] -> http://ubuntu:34244/ ['http://ubuntu:46388/', 'http://ubuntu:35037/', 'http://ubuntu:36867/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 15:07:17,720: +SUB [/camera/image_raw] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,724: +PUB [/image/screenpoint] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,725: +PUB [/image/screenpoint_array] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,726: +PUB [/image/screenrectangle] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,728: +PUB [/image/screenrectangle_image] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,729: +PUB [/image/movepoint] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,729: +PUB [/image/foreground] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,732: +PUB [/image/background] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,733: +PUB [/image/foreground_rect] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,734: +PUB [/image/background_rect] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,735: +PUB [/image/line] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,740: +PUB [/image/poly] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,787: +PUB [/image/compressedDepth] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,787: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,788: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,789: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:46388/
[rosmaster.master][INFO] 2017-09-23 15:07:17,794: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:07:17,797: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:07:17,797: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:07:17,798: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:07:17,800: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:07:17,801: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:07:17,814: +PUB [/image_marked/compressedDepth] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,815: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,815: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,816: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:36867/
[rosmaster.master][INFO] 2017-09-23 15:07:17,818: +PARAM [/image_marked/compressedDepth/depth_max] by /view
