[rosmaster.main][INFO] 2017-10-05 18:06:20,678: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 18:06:20,678: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 18:06:20,678: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 18:06:20,679: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 18:06:20,679: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 18:06:20,679: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 18:06:20,709: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:06:20,711: +PARAM [/roslaunch/uris/host_ubuntu__36023] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:06:20,795: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:06:20,796: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:06:20,796: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:06:20,806: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45664/
[rosmaster.master][INFO] 2017-10-05 18:06:20,807: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45664/
[rosmaster.master][INFO] 2017-10-05 18:06:20,809: +PUB [/rosout_agg] /rosout http://ubuntu:45664/
[rosmaster.master][INFO] 2017-10-05 18:06:20,815: +SUB [/rosout] /rosout http://ubuntu:45664/
[rosmaster.master][INFO] 2017-10-05 18:06:20,927: +PUB [/rosout] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:20,932: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:20,933: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:20,964: +PUB [/rosout] /camera http://ubuntu:44906/
[rosmaster.master][INFO] 2017-10-05 18:06:20,965: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44906/
[rosmaster.master][INFO] 2017-10-05 18:06:20,966: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44906/
[rosmaster.master][INFO] 2017-10-05 18:06:20,971: +PUB [/rosout] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:20,975: +SERVICE [/view/get_loggers] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:20,977: +SERVICE [/view/set_logger_level] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:20,979: publisherUpdate[/rosout] -> http://ubuntu:45664/ ['http://ubuntu:39301/']
[rosmaster.master][INFO] 2017-10-05 18:06:20,982: publisherUpdate[/rosout] -> http://ubuntu:45664/ ['http://ubuntu:39301/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:06:20,982: publisherUpdate[/rosout] -> http://ubuntu:45664/ ['http://ubuntu:39301/', 'http://ubuntu:44906/']
[rosmaster.master][INFO] 2017-10-05 18:06:20,986: publisherUpdate[/rosout] -> http://ubuntu:45664/ ['http://ubuntu:39301/', 'http://ubuntu:44906/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:06:20,987: publisherUpdate[/rosout] -> http://ubuntu:45664/ ['http://ubuntu:39301/', 'http://ubuntu:44906/', 'http://ubuntu:44449/']
[rosmaster.master][INFO] 2017-10-05 18:06:20,987: publisherUpdate[/rosout] -> http://ubuntu:45664/ ['http://ubuntu:39301/', 'http://ubuntu:44906/', 'http://ubuntu:44449/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:06:21,002: +SUB [/tf] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,011: +SUB [/tf_static] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,029: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44906/
[rosmaster.master][INFO] 2017-10-05 18:06:21,064: +PUB [/image/screenpoint] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,065: +PUB [/image/screenpoint_array] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,066: +PUB [/image/screenrectangle] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,067: +PUB [/image/screenrectangle_image] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,068: +PUB [/image/movepoint] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,069: +PUB [/image/foreground] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,071: +PUB [/image/background] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,073: +PUB [/image/foreground_rect] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,075: +PUB [/image/background_rect] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,077: +PUB [/image/line] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,079: +PUB [/image/poly] /view http://ubuntu:44449/
[rosmaster.master][INFO] 2017-10-05 18:06:21,081: +SUB [/camera/image_raw] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:21,169: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:21,170: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:21,173: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:21,174: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:39301/
[rosmaster.master][INFO] 2017-10-05 18:06:21,176: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-05 18:06:21,185: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-05 18:06:21,186: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-05 18:06:21,188: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
