[rosmaster.main][INFO] 2017-09-22 16:34:24,017: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 16:34:24,017: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 16:34:24,018: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 16:34:24,018: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 16:34:24,018: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 16:34:24,018: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 16:34:24,085: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:34:24,089: +PARAM [/roslaunch/uris/host_ubuntu__41125] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:34:24,172: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:34:24,172: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:34:24,173: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 16:34:24,178: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46470/
[rosmaster.master][INFO] 2017-09-22 16:34:24,179: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46470/
[rosmaster.master][INFO] 2017-09-22 16:34:24,182: +PUB [/rosout_agg] /rosout http://ubuntu:46470/
[rosmaster.master][INFO] 2017-09-22 16:34:24,205: +SUB [/rosout] /rosout http://ubuntu:46470/
[rosmaster.master][INFO] 2017-09-22 16:34:24,287: +PUB [/rosout] /image_converter http://ubuntu:38435/
[rosmaster.master][INFO] 2017-09-22 16:34:24,288: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:38435/
[rosmaster.master][INFO] 2017-09-22 16:34:24,289: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:38435/
[rosmaster.master][INFO] 2017-09-22 16:34:24,318: publisherUpdate[/rosout] -> http://ubuntu:46470/ ['http://ubuntu:38435/']
[rosmaster.master][INFO] 2017-09-22 16:34:24,319: publisherUpdate[/rosout] -> http://ubuntu:46470/ ['http://ubuntu:38435/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 16:34:24,350: +PUB [/rosout] /view http://ubuntu:43244/
[rosmaster.master][INFO] 2017-09-22 16:34:24,350: +SERVICE [/view/get_loggers] /view http://ubuntu:43244/
[rosmaster.master][INFO] 2017-09-22 16:34:24,351: +SERVICE [/view/set_logger_level] /view http://ubuntu:43244/
[rosmaster.master][INFO] 2017-09-22 16:34:24,356: +PUB [/rosout] /camera http://ubuntu:46221/
[rosmaster.master][INFO] 2017-09-22 16:34:24,363: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46221/
[rosmaster.master][INFO] 2017-09-22 16:34:24,364: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46221/
[rosmaster.master][INFO] 2017-09-22 16:34:24,366: +SUB [/tf] /view http://ubuntu:43244/
