[rosmaster.main][INFO] 2017-09-26 19:00:01,672: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 19:00:01,673: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 19:00:01,673: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-26 19:00:01,674: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 19:00:01,673: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 19:00:01,674: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 19:00:01,709: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:00:01,711: +PARAM [/roslaunch/uris/host_ubuntu__41813] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:00:01,780: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:00:01,781: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:00:01,781: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 19:00:01,796: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44452/
[rosmaster.master][INFO] 2017-09-26 19:00:01,798: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44452/
[rosmaster.master][INFO] 2017-09-26 19:00:01,800: +PUB [/rosout_agg] /rosout http://ubuntu:44452/
[rosmaster.master][INFO] 2017-09-26 19:00:01,821: +SUB [/rosout] /rosout http://ubuntu:44452/
[rosmaster.master][INFO] 2017-09-26 19:00:01,949: +PUB [/rosout] /mask_orange http://ubuntu:34200/
[rosmaster.master][INFO] 2017-09-26 19:00:01,951: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:34200/
[rosmaster.master][INFO] 2017-09-26 19:00:01,952: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:34200/
[rosmaster.master][INFO] 2017-09-26 19:00:01,974: publisherUpdate[/rosout] -> http://ubuntu:44452/ ['http://ubuntu:34200/']
[rosmaster.master][INFO] 2017-09-26 19:00:01,975: publisherUpdate[/rosout] -> http://ubuntu:44452/ ['http://ubuntu:34200/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 19:00:01,982: +PUB [/rosout] /camera http://ubuntu:34069/
