[rosmaster.main][INFO] 2017-10-04 16:41:45,019: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 16:41:45,019: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 16:41:45,019: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 16:41:45,020: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 16:41:45,020: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 16:41:45,020: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 16:41:45,082: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:41:45,086: +PARAM [/roslaunch/uris/host_ubuntu__39051] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:41:45,169: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:41:45,169: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:41:45,169: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:41:45,182: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41233/
[rosmaster.master][INFO] 2017-10-04 16:41:45,189: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41233/
[rosmaster.master][INFO] 2017-10-04 16:41:45,191: +PUB [/rosout_agg] /rosout http://ubuntu:41233/
[rosmaster.master][INFO] 2017-10-04 16:41:45,208: +SUB [/rosout] /rosout http://ubuntu:41233/
[rosmaster.master][INFO] 2017-10-04 16:41:45,340: +PUB [/rosout] /mask_orange http://ubuntu:45756/
[rosmaster.master][INFO] 2017-10-04 16:41:45,345: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:45756/
[rosmaster.master][INFO] 2017-10-04 16:41:45,346: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:45756/
[rosmaster.master][INFO] 2017-10-04 16:41:45,380: +PUB [/rosout] /camera http://ubuntu:38650/
[rosmaster.master][INFO] 2017-10-04 16:41:45,381: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38650/
[rosmaster.master][INFO] 2017-10-04 16:41:45,384: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38650/
[rosmaster.master][INFO] 2017-10-04 16:41:45,420: publisherUpdate[/rosout] -> http://ubuntu:41233/ ['http://ubuntu:45756/']
[rosmaster.master][INFO] 2017-10-04 16:41:45,421: publisherUpdate[/rosout] -> http://ubuntu:41233/ ['http://ubuntu:45756/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 16:41:45,422: publisherUpdate[/rosout] -> http://ubuntu:41233/ ['http://ubuntu:45756/', 'http://ubuntu:38650/']
[rosmaster.master][INFO] 2017-10-04 16:41:45,422: publisherUpdate[/rosout] -> http://ubuntu:41233/ ['http://ubuntu:45756/', 'http://ubuntu:38650/']: sec=0.00, result=[1, '', 0]
