[rosmaster.main][INFO] 2017-10-10 18:43:31,029: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-10 18:43:31,029: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-10 18:43:31,030: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-10 18:43:31,030: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-10 18:43:31,030: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-10 18:43:31,030: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-10 18:43:31,084: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:43:31,085: +PARAM [/roslaunch/uris/host_ubuntu__42529] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:43:31,170: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:43:31,170: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:43:31,170: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-10 18:43:31,180: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42375/
[rosmaster.master][INFO] 2017-10-10 18:43:31,180: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42375/
[rosmaster.master][INFO] 2017-10-10 18:43:31,191: +PUB [/rosout_agg] /rosout http://ubuntu:42375/
[rosmaster.master][INFO] 2017-10-10 18:43:31,207: +SUB [/rosout] /rosout http://ubuntu:42375/
[rosmaster.master][INFO] 2017-10-10 18:43:31,310: +PUB [/rosout] /mask_orange http://ubuntu:40770/
[rosmaster.master][INFO] 2017-10-10 18:43:31,319: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:40770/
[rosmaster.master][INFO] 2017-10-10 18:43:31,326: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:40770/
[rosmaster.master][INFO] 2017-10-10 18:43:31,331: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/']
[rosmaster.master][INFO] 2017-10-10 18:43:31,333: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:43:31,347: +PUB [/rosout] /orange_col_sender http://ubuntu:33663/
[rosmaster.master][INFO] 2017-10-10 18:43:31,354: +SERVICE [/orange_col_sender/get_loggers] /orange_col_sender http://ubuntu:33663/
[rosmaster.master][INFO] 2017-10-10 18:43:31,358: +SERVICE [/orange_col_sender/set_logger_level] /orange_col_sender http://ubuntu:33663/
[rosmaster.master][INFO] 2017-10-10 18:43:31,373: +PUB [/rosout] /camera http://ubuntu:35868/
[rosmaster.master][INFO] 2017-10-10 18:43:31,379: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35868/
[rosmaster.master][INFO] 2017-10-10 18:43:31,382: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35868/
[rosmaster.master][INFO] 2017-10-10 18:43:31,426: +PUB [/rosout] /view http://ubuntu:43566/
[rosmaster.master][INFO] 2017-10-10 18:43:31,427: +SERVICE [/view/get_loggers] /view http://ubuntu:43566/
[rosmaster.master][INFO] 2017-10-10 18:43:31,428: +SERVICE [/view/set_logger_level] /view http://ubuntu:43566/
[rosmaster.master][INFO] 2017-10-10 18:43:31,433: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/', 'http://ubuntu:33663/']
[rosmaster.master][INFO] 2017-10-10 18:43:31,434: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/', 'http://ubuntu:33663/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:43:31,434: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/', 'http://ubuntu:33663/', 'http://ubuntu:35868/']
[rosmaster.master][INFO] 2017-10-10 18:43:31,435: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/', 'http://ubuntu:33663/', 'http://ubuntu:35868/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:43:31,435: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/', 'http://ubuntu:33663/', 'http://ubuntu:35868/', 'http://ubuntu:43566/']
[rosmaster.master][INFO] 2017-10-10 18:43:31,435: publisherUpdate[/rosout] -> http://ubuntu:42375/ ['http://ubuntu:40770/', 'http://ubuntu:33663/', 'http://ubuntu:35868/', 'http://ubuntu:43566/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-10 18:43:31,448: +SUB [/tf] /view http://ubuntu:43566/
[rosmaster.master][INFO] 2017-10-10 18:43:31,464: +SUB [/tf_static] /view http://ubuntu:43566/
